nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13665558,0.5236452,0.21556391,0.66701853,0.23224209,0.5274447,0.35994765,0.58375776,0.36198443,0.52468705,0.4738327,0.47278896,0.46357942,0.45959014,0.50975645,0.6319841,0.49955025,0.5490474,0.728161,0.5009327,0.6550952,0.40122408,0.8756771,0.68800145,0.8735931,0.30667663,backhand
0.14805758,0.5090653,0.23102339,0.64439577,0.23304896,0.5034553,0.3702086,0.5515051,0.36049786,0.49645218,0.5018843,0.45738015,0.46505818,0.4533254,0.5169951,0.58975077,0.49479723,0.5035125,0.75627995,0.47111154,0.65046436,0.35695633,0.8883328,0.6914494,0.8900895,0.3035861,backhand
0.117757976,0.49484572,0.208813,0.6190054,0.20734498,0.5019967,0.3537468,0.52016515,0.33842862,0.46250468,0.4918769,0.41960844,0.47961095,0.40909943,0.50973487,0.5492003,0.4927694,0.49536207,0.7535326,0.4635812,0.64363706,0.34461817,0.87181425,0.6912391,0.89989096,0.3126243,backhand
0.116859585,0.45805433,0.20652229,0.5598683,0.2106199,0.53321105,0.36876154,0.45030868,0.35297865,0.4484108,0.50303733,0.38062063,0.4838697,0.38071367,0.5117572,0.5157326,0.5067669,0.5040128,0.7384969,0.43165502,0.6481738,0.34065324,0.851637,0.6548433,0.8886707,0.32813153,backhand
0.115932815,0.47217464,0.19759636,0.5088059,0.20547459,0.5862134,0.35510534,0.42537367,0.3468378,0.513725,0.44438437,0.33816332,0.44270223,0.39708284,0.49592862,0.48982123,0.4884875,0.5264716,0.72837865,0.4133857,0.6851671,0.34882626,0.85637033,0.6400401,0.88373584,0.3417474,backhand
0.124057546,0.47905192,0.19944784,0.48374003,0.21605423,0.6078479,0.32182756,0.41326174,0.3249812,0.5316485,0.3955409,0.3172487,0.3917139,0.44166404,0.49159905,0.47977367,0.48748916,0.5323331,0.72196424,0.42344645,0.67480904,0.384619,0.85776085,0.63569105,0.89160776,0.35798788,backhand
0.12508488,0.47084197,0.18410054,0.47631565,0.2209092,0.6205902,0.28877163,0.35796425,0.30016422,0.54261327,0.2743273,0.3554951,0.25347546,0.42823872,0.47718588,0.46390903,0.48027033,0.5419537,0.71135557,0.44986373,0.6799637,0.43434066,0.8532238,0.66699034,0.8762177,0.39981344,backhand
0.11984925,0.47111252,0.17560214,0.45361707,0.2313953,0.6029775,0.20494467,0.36494607,0.27994916,0.54927653,0.19601859,0.41690055,0.20181896,0.47232825,0.47498047,0.42115358,0.47971758,0.5035116,0.7159951,0.41409832,0.6993209,0.42698678,0.8420802,0.62821925,0.88968194,0.39189735,backhand
0.09932085,0.47900254,0.1741778,0.4258478,0.22480102,0.58724624,0.17381538,0.37493014,0.2835283,0.52441144,0.16976406,0.44603792,0.18519045,0.45836747,0.4604674,0.40409902,0.46594018,0.4948699,0.71110386,0.3872575,0.6923183,0.4375402,0.83289754,0.6155544,0.8855823,0.40436673,backhand
0.14048234,0.48412204,0.19815893,0.41217482,0.23915096,0.5722884,0.18861051,0.40458304,0.18299705,0.53896123,0.16688319,0.4654673,0.16952813,0.51056695,0.47563878,0.38353714,0.48048383,0.47310573,0.71937335,0.36848336,0.6990038,0.43775073,0.8337108,0.5801766,0.8888954,0.40636685,backhand
0.12071456,0.49755228,0.18172804,0.4122835,0.23475859,0.57289016,0.20160373,0.42324838,0.15172951,0.65877,0.16933188,0.47774193,0.1007007,0.75399935,0.4696768,0.37585926,0.47594514,0.476766,0.7169408,0.36995944,0.70187426,0.4412829,0.8407799,0.5710991,0.899086,0.4175252,backhand
0.13013586,0.40964773,0.19297326,0.35512468,0.22529234,0.48848012,0.16773641,0.37787557,0.20884858,0.5261983,0.16826212,0.43927222,0.20318706,0.50847906,0.47406814,0.31658486,0.47822297,0.41091502,0.7076582,0.29073405,0.6997053,0.37141222,0.8585051,0.4603668,0.8866939,0.3617412,backhand
0.14201017,0.4843813,0.19480391,0.41304794,0.2254341,0.5644043,0.29173696,0.42782593,0.25723147,0.6341569,0.20707189,0.5351512,0.21371733,0.59435874,0.4689759,0.38290057,0.47654024,0.48261306,0.70373565,0.3442914,0.67921925,0.45524606,0.8612577,0.4517276,0.90205806,0.45511618,backhand
0.15733525,0.47725832,0.19438669,0.4056649,0.21444713,0.57015425,0.32245013,0.41297007,0.25726378,0.65559083,0.2057387,0.53352743,0.20826066,0.60135925,0.46681237,0.38501582,0.47007942,0.47709444,0.69958776,0.33333403,0.6693878,0.4631781,0.8609677,0.40799624,0.8700358,0.47012115,backhand
0.17654522,0.46375704,0.21629176,0.5526453,0.19162674,0.38558275,0.2540125,0.6738039,0.37101474,0.3882914,0.21216583,0.6073364,0.31403103,0.44072703,0.47485954,0.47404554,0.4695791,0.37106264,0.6904051,0.46266896,0.69880784,0.3112239,0.88853407,0.48006833,0.9100943,0.3493801,backhand
0.11887152,0.45915648,0.20481916,0.36842304,0.23747168,0.55077416,0.3214687,0.3781638,0.26230225,0.6794014,0.21934699,0.48728266,0.1787918,0.60380006,0.4770083,0.36269632,0.48497158,0.47523895,0.7024043,0.29041308,0.6820177,0.4691242,0.93326914,0.28675035,0.8789876,0.48746306,backhand
0.13955797,0.4688993,0.2333479,0.37735388,0.26209727,0.5522844,0.34425142,0.39264765,0.2889054,0.6756218,0.25079122,0.4677735,0.20086934,0.60356015,0.489386,0.3793519,0.49669543,0.4815243,0.70167476,0.29071757,0.65733296,0.48422283,0.89338857,0.29794642,0.8368855,0.49714032,backhand
0.14493649,0.46945575,0.23503616,0.37665373,0.26894763,0.5623141,0.3271605,0.39546898,0.29510012,0.6783701,0.21979718,0.51062316,0.20002033,0.6090995,0.50420725,0.3819027,0.5098925,0.48790386,0.70526654,0.2956036,0.6669622,0.4942199,0.9261,0.2901279,0.83937156,0.4997898,backhand
0.14120296,0.47686443,0.22994363,0.37906805,0.26485372,0.5617469,0.29039562,0.3967884,0.29717776,0.68731546,0.22187859,0.5063818,0.19404536,0.6224458,0.4948292,0.38933024,0.50540775,0.49719614,0.6779322,0.3157272,0.6461203,0.5092602,0.8944059,0.3187372,0.82462996,0.5126103,backhand
0.123868674,0.46225828,0.2166626,0.3728228,0.25163963,0.5525718,0.2831934,0.39319715,0.30150163,0.6780523,0.21754521,0.5110432,0.19489114,0.62596005,0.48662528,0.38140106,0.49533883,0.48671684,0.6851095,0.31337947,0.6342899,0.5075956,0.90228266,0.315297,0.8062708,0.5252478,backhand
0.12573913,0.46606737,0.21149372,0.37523475,0.24374981,0.5476031,0.26818496,0.4004909,0.30743703,0.66746944,0.21468756,0.5120329,0.19588281,0.6259602,0.48848128,0.38161892,0.49324912,0.4913247,0.6804995,0.33338445,0.6303531,0.5135451,0.8897638,0.32783958,0.79183143,0.52527887,backhand
0.12196099,0.46846566,0.20985547,0.37675428,0.23671618,0.5525765,0.32151815,0.3911983,0.32383803,0.65691763,0.24727555,0.47433957,0.19798622,0.63568187,0.48413563,0.38888043,0.48871532,0.4989387,0.6777766,0.33531326,0.62279975,0.52806014,0.88820916,0.33080924,0.7886071,0.5223297,backhand
0.11551749,0.47001788,0.1996294,0.37991,0.2266316,0.5567697,0.30835232,0.39320153,0.3279756,0.65345794,0.23769376,0.47873673,0.19376454,0.65102905,0.4740791,0.39689606,0.48032865,0.5052411,0.67874795,0.3536776,0.6182457,0.53195125,0.8919467,0.34062988,0.7972961,0.5289673,backhand
0.1187653,0.47942084,0.2015975,0.38025388,0.22772159,0.55313826,0.32934555,0.38476783,0.33211184,0.6421959,0.29810894,0.44859236,0.20759968,0.66215044,0.47332406,0.40541595,0.47473875,0.5090381,0.6796094,0.37053537,0.60561866,0.5457681,0.8895191,0.344131,0.7926973,0.5317454,backhand
0.12315877,0.4746138,0.20622206,0.37703618,0.23100662,0.54543966,0.33052713,0.3790433,0.33220944,0.6348758,0.2662131,0.46537384,0.22041035,0.6585243,0.47641528,0.41120914,0.4769149,0.51008725,0.68983054,0.3742799,0.613235,0.55056685,0.89092857,0.34700182,0.80463,0.53636813,backhand
0.12527344,0.48186404,0.19801699,0.3777972,0.22457905,0.53925383,0.32345313,0.37800702,0.32992277,0.62751216,0.26489726,0.46292958,0.22022444,0.6647275,0.47036797,0.41341132,0.46983573,0.5060517,0.683645,0.37571013,0.6158432,0.5532829,0.8888629,0.34841087,0.8060157,0.5611927,backhand
0.13887168,0.47874606,0.20964533,0.37895226,0.23477875,0.5328386,0.34490475,0.3614595,0.33791003,0.6229811,0.3474912,0.40935826,0.23389201,0.6676176,0.47845033,0.4092838,0.47642085,0.50407255,0.68568796,0.37440196,0.608571,0.5524957,0.89494133,0.34510905,0.8058095,0.56056136,backhand
0.16205214,0.47000435,0.22512649,0.370394,0.23318793,0.53166294,0.3521858,0.3488161,0.3419481,0.6170088,0.34535435,0.4126475,0.24285848,0.667814,0.4808851,0.40605608,0.47769198,0.5014884,0.6922268,0.3689909,0.61512995,0.5589593,0.9053216,0.34113187,0.813016,0.57289577,backhand
0.14726128,0.47007382,0.2106121,0.3665827,0.22398873,0.53538376,0.345009,0.33652183,0.3325298,0.6227983,0.3341857,0.42547703,0.2437743,0.67030734,0.47860557,0.40001944,0.47552,0.49728414,0.69702023,0.35789174,0.6087538,0.56905353,0.8999859,0.33740345,0.79224926,0.6073378,backhand
0.14380588,0.46513745,0.21893,0.3632521,0.22999333,0.5346727,0.3547832,0.3279678,0.33837858,0.6194034,0.33889383,0.42760226,0.2557578,0.6727532,0.48935392,0.39421386,0.48536563,0.49774742,0.6945871,0.35427505,0.61678684,0.5762594,0.8917921,0.33161172,0.7842147,0.6144454,backhand
