nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.12473426,0.47646654,0.1890226,0.44520208,0.19003873,0.37834314,0.21234049,0.5958712,0.29560512,0.33169743,0.15680012,0.6953598,0.22793089,0.46116924,0.47801495,0.41833103,0.48495322,0.41578364,0.6646289,0.43704686,0.6381553,0.61998457,0.7930466,0.28567797,0.8769309,0.6230666,forehand
0.1221533,0.47538394,0.1992831,0.41887432,0.21587536,0.42044908,0.28773424,0.50094384,0.31730953,0.50814193,0.2121768,0.6130702,0.28662223,0.51090276,0.49053165,0.41522035,0.4953969,0.4466969,0.6622293,0.43991834,0.6521461,0.6335303,0.7942371,0.28125417,0.8685984,0.6042529,forehand
0.113490164,0.53565735,0.17988364,0.43965426,0.20949236,0.47629753,0.29375643,0.47558045,0.32086825,0.49715012,0.33336386,0.52550995,0.3732029,0.5844085,0.48283198,0.4426613,0.48840734,0.48547623,0.65399903,0.46468824,0.6667983,0.6583918,0.81627095,0.31953534,0.8823174,0.6210253,forehand
0.09792338,0.5254689,0.18535939,0.41042995,0.19876494,0.51644665,0.31277233,0.39529097,0.35108086,0.5416466,0.33970416,0.49965876,0.40560997,0.63928425,0.4712288,0.4255046,0.47522405,0.5095866,0.6514659,0.44935074,0.6719551,0.6298787,0.8525833,0.34507033,0.88012224,0.5923853,forehand
0.10549031,0.5072583,0.1835487,0.39383978,0.22810863,0.55409724,0.3079609,0.31669694,0.36055815,0.60173815,0.28997457,0.4176695,0.44535983,0.68002945,0.46124163,0.4209194,0.47050044,0.52225924,0.6440494,0.43819723,0.6724065,0.58619493,0.8590415,0.40905476,0.8911162,0.5622303,forehand
0.10287822,0.48727927,0.18430415,0.3758193,0.22297888,0.5502386,0.30743277,0.2952618,0.3364707,0.62963915,0.27347016,0.37727085,0.4191781,0.72620887,0.451927,0.4132659,0.46007577,0.5191902,0.6273309,0.4445871,0.6603371,0.54749835,0.8291222,0.46544585,0.8742897,0.5407716,forehand
0.12029614,0.4643226,0.20338911,0.3526448,0.21979836,0.52882874,0.32783183,0.28154692,0.32434002,0.6340572,0.24831527,0.31454006,0.3922593,0.74789935,0.4673967,0.39858392,0.46435747,0.5009258,0.6491914,0.43743587,0.66541636,0.52218735,0.83910847,0.48848245,0.85683787,0.51766884,forehand
0.12865369,0.4471996,0.21893172,0.33121485,0.22478987,0.51275355,0.33233875,0.2637777,0.298983,0.62709564,0.22683464,0.26383618,0.30367726,0.7159185,0.48624265,0.3825765,0.4772368,0.48450047,0.6562865,0.4222008,0.67542773,0.50553757,0.83966047,0.48264048,0.8543581,0.5012516,forehand
0.12832645,0.44898713,0.22300535,0.32648864,0.21643396,0.51268566,0.33356845,0.25007933,0.24435045,0.5900078,0.23682806,0.28211454,0.22708207,0.5222367,0.48933345,0.37886563,0.47790253,0.48596236,0.6616822,0.41170335,0.665449,0.50440377,0.8444755,0.46307284,0.8845184,0.50457186,forehand
0.13344015,0.52716374,0.23554663,0.40968615,0.21718463,0.6065053,0.34006783,0.32932502,0.20650287,0.6029892,0.2497835,0.36374643,0.14770485,0.54899997,0.48742184,0.45346785,0.47559422,0.5634052,0.6517271,0.4762722,0.6692749,0.5904699,0.8386717,0.5239821,0.8760843,0.5895507,forehand
0.12734582,0.5561927,0.24384865,0.4583494,0.21611607,0.6276964,0.34906566,0.3595343,0.19957219,0.600897,0.24785616,0.3790143,0.13091631,0.5464638,0.4895398,0.49980232,0.4814378,0.61023724,0.63308614,0.4861966,0.67183363,0.63283104,0.7972231,0.48371217,0.88788116,0.6454272,forehand
0.12780897,0.5505094,0.24568105,0.47477636,0.21663725,0.6261508,0.3670767,0.37296626,0.26952922,0.60458446,0.28217342,0.38240662,0.19970074,0.54764724,0.49434832,0.5156896,0.48579973,0.6210874,0.65002936,0.46948528,0.6818965,0.6502768,0.81045306,0.43978447,0.87037975,0.6809835,forehand
0.13706382,0.51788366,0.25918472,0.46162617,0.22411989,0.5946858,0.38943428,0.35864076,0.26937276,0.51207346,0.3093169,0.33977887,0.29916358,0.39475748,0.50640416,0.501536,0.49511218,0.60490155,0.6743665,0.42733532,0.6896964,0.64704216,0.84111553,0.3804575,0.88557434,0.69179404,forehand
0.15465304,0.4734692,0.27894762,0.43798727,0.2226613,0.58071476,0.42861828,0.36052582,0.09167986,0.5668621,0.37776855,0.32409543,0.069555655,0.4949217,0.52111554,0.4939192,0.5063287,0.59807515,0.68911034,0.4074662,0.7090167,0.6558558,0.87040883,0.34991315,0.92105067,0.7271925,forehand
0.20820831,0.4688303,0.3355342,0.41565853,0.2669362,0.5560526,0.46960703,0.3796633,0.15353397,0.5601413,0.45227155,0.3279374,0.11068224,0.5049809,0.54050225,0.4860582,0.5214971,0.5807135,0.68225294,0.39736843,0.7079578,0.64457095,0.8595592,0.3422376,0.9174389,0.7224588,forehand
0.22614183,0.45875287,0.3539881,0.4050628,0.27989534,0.5381201,0.49198788,0.38253796,0.19683492,0.5600713,0.47509012,0.3203983,0.12551354,0.51204765,0.54836214,0.47818118,0.5332432,0.57253885,0.67431027,0.38336983,0.721173,0.63519526,0.8738257,0.336022,0.9017231,0.7175143,forehand
0.24301684,0.43220118,0.37488008,0.3980157,0.30070066,0.52044386,0.51407725,0.38241652,0.20667493,0.5491574,0.5128511,0.31245846,0.16758248,0.4928795,0.5667269,0.4709325,0.54610777,0.564376,0.68723243,0.3737099,0.7121785,0.6331947,0.8852287,0.3434405,0.88701516,0.71706915,forehand
0.23477632,0.4148814,0.37164065,0.38105282,0.2752274,0.51441276,0.5198498,0.37701547,0.21828246,0.56223655,0.5339016,0.30494714,0.15688439,0.49281713,0.5684396,0.47396684,0.5433636,0.5714552,0.6922698,0.34651157,0.7239838,0.64545125,0.904584,0.36179203,0.8862532,0.7373407,forehand
0.241356,0.38900882,0.36902934,0.36402345,0.299209,0.4947522,0.51314855,0.38761675,0.25366977,0.5758659,0.54997176,0.2987754,0.18706965,0.5120909,0.56802064,0.47295636,0.5452246,0.5703808,0.6880522,0.33070338,0.71955544,0.64376414,0.8903916,0.36899564,0.88036305,0.7435096,forehand
0.1816869,0.36975804,0.32313967,0.335751,0.25512078,0.48433194,0.47742674,0.3797302,0.2626036,0.5769729,0.5443273,0.28380778,0.1757483,0.4906268,0.5542185,0.4603771,0.52827966,0.5667565,0.68893003,0.29806477,0.71095765,0.62735057,0.8910772,0.34036216,0.8902803,0.74912107,forehand
0.14338751,0.34239534,0.28502193,0.31079164,0.22468325,0.46971616,0.4419447,0.3677825,0.2950262,0.5731844,0.52358294,0.25992826,0.2729032,0.4590847,0.53565526,0.4405005,0.5163374,0.5525276,0.6667247,0.2655474,0.70633495,0.62922496,0.89043427,0.31743842,0.88511205,0.75194657,forehand
0.13315088,0.33053118,0.27576512,0.28844643,0.21469103,0.4668344,0.435493,0.36008823,0.32756752,0.55014694,0.5166469,0.23633122,0.32813904,0.45473644,0.529557,0.41995704,0.50956833,0.52714473,0.66098785,0.24335177,0.69694453,0.61549824,0.8893232,0.31476516,0.8834598,0.7556162,forehand
0.11961482,0.32291228,0.25427556,0.2884077,0.21186219,0.4561279,0.41808644,0.35214683,0.33811435,0.53887784,0.4940954,0.22726932,0.33882034,0.44109243,0.50743735,0.41247627,0.49352506,0.50953984,0.65304005,0.23335065,0.68166286,0.6016495,0.88192815,0.3152179,0.86788714,0.7585265,forehand
0.112497725,0.31814346,0.24211906,0.28892687,0.20529577,0.4469584,0.40210998,0.33100405,0.3419945,0.52361655,0.47460866,0.21635965,0.32992008,0.42171806,0.5041785,0.4050461,0.48997557,0.49784127,0.66169035,0.23182018,0.68450236,0.58078617,0.8821028,0.32869962,0.8506242,0.7579336,forehand
