nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.113143444,0.509782,0.20097004,0.4110385,0.20678304,0.5924706,0.3576609,0.3793663,0.35072306,0.64059436,0.36079004,0.45320144,0.38331196,0.57175183,0.47825548,0.46899584,0.46468043,0.56631696,0.6811433,0.49125087,0.6326407,0.616007,0.87490904,0.5441316,0.8235474,0.6542447,neutral
0.11393085,0.5093517,0.19877976,0.4192113,0.20783654,0.59570825,0.3527379,0.37212607,0.35141712,0.64939386,0.35098028,0.44197956,0.38247448,0.5684926,0.46700844,0.4714576,0.456042,0.567945,0.669608,0.49893034,0.6439682,0.61297935,0.8620674,0.53995687,0.8287505,0.63350666,neutral
0.11107028,0.5224342,0.20436974,0.43148398,0.20881458,0.61250776,0.3554501,0.38821304,0.3503974,0.6564601,0.37891984,0.46577153,0.4030319,0.5745664,0.47118127,0.47872987,0.46042022,0.5757318,0.68296975,0.5047464,0.6526887,0.61493117,0.8768739,0.5410019,0.8513581,0.6229163,neutral
0.12209696,0.5162182,0.21427481,0.41693738,0.21461211,0.6063665,0.36190203,0.37887126,0.35815513,0.65083325,0.394296,0.44947615,0.4007772,0.5607646,0.4752194,0.4704343,0.4671717,0.57059216,0.69128084,0.49657726,0.657068,0.5922495,0.87598646,0.52790433,0.858525,0.60674065,neutral
0.12831111,0.5170257,0.22154732,0.4176588,0.22305986,0.604244,0.36832565,0.3830858,0.36100134,0.6553082,0.40843165,0.45942658,0.41007775,0.5730475,0.47970697,0.46814474,0.4736705,0.5698487,0.69199973,0.48987073,0.67337537,0.58333844,0.8857338,0.51083237,0.8737882,0.5965052,neutral
0.12983197,0.51203305,0.23016565,0.41203347,0.22741714,0.5997026,0.37602386,0.37747762,0.36091685,0.6475035,0.4435496,0.4496565,0.4235825,0.56779325,0.48256698,0.46257806,0.48067132,0.56496173,0.69831085,0.46601868,0.6810676,0.57310283,0.885131,0.48925373,0.8734506,0.57906556,neutral
0.14238405,0.50269264,0.24156307,0.40859485,0.23719133,0.5963492,0.38286,0.38004,0.37546322,0.63655066,0.4669612,0.43385768,0.4417408,0.56236774,0.48788857,0.46150506,0.48731443,0.56488264,0.69673544,0.44638354,0.6918737,0.56942296,0.9057443,0.45865092,0.8825745,0.57045645,neutral
0.13974474,0.49733296,0.24079396,0.4096064,0.23658912,0.5934036,0.38460383,0.38026547,0.38080636,0.6388115,0.46061894,0.43727738,0.4436013,0.5684227,0.4891895,0.45783064,0.49160898,0.5645705,0.67957145,0.43517578,0.68747896,0.5701313,0.88691854,0.43390772,0.8833647,0.5634559,neutral
0.15710187,0.491368,0.25973678,0.40708026,0.2547753,0.5900486,0.40243667,0.3809678,0.39630195,0.6316092,0.46203998,0.4512297,0.4625556,0.5594775,0.49315906,0.45326942,0.5005619,0.5585184,0.69325763,0.41452473,0.7049631,0.56061566,0.9041263,0.39791173,0.9055483,0.5603365,neutral
0.15367481,0.48884085,0.25680757,0.4032541,0.24935341,0.58802396,0.40268192,0.37903613,0.39473736,0.63201934,0.45005012,0.44935054,0.45307675,0.5601756,0.4972176,0.4553321,0.50079256,0.5620459,0.6880878,0.39900124,0.70768416,0.5625045,0.90376693,0.36180001,0.9106472,0.56697804,neutral
0.16140872,0.48944643,0.26808277,0.40892413,0.25874776,0.59207416,0.41886234,0.39122415,0.40151742,0.6390126,0.44487622,0.47036093,0.4347456,0.556547,0.5041351,0.4573365,0.50721145,0.5654215,0.6884338,0.38796788,0.7187852,0.5715063,0.89758843,0.33737397,0.92739534,0.5691093,neutral
0.16713575,0.5062397,0.26655093,0.4206517,0.25441644,0.6025699,0.42093644,0.40505126,0.3969099,0.65556806,0.4243867,0.47038767,0.41489124,0.5660534,0.5048286,0.47459298,0.5050513,0.57865155,0.6739881,0.38554084,0.7100524,0.58914477,0.87290007,0.31928864,0.9089424,0.60087866,neutral
0.15902044,0.5095706,0.26365137,0.43183848,0.2508417,0.6101258,0.42075288,0.4131597,0.3888446,0.66584104,0.46215808,0.4874058,0.46679068,0.59709895,0.50226665,0.47865552,0.50076616,0.588145,0.66815597,0.38851255,0.6978147,0.6142175,0.86002684,0.3027041,0.8955621,0.6470662,neutral
0.15511237,0.5200206,0.2539559,0.43710187,0.24909584,0.619976,0.41497284,0.41581517,0.3940296,0.67601633,0.43400455,0.48834735,0.4499333,0.60571796,0.5048165,0.47721764,0.5046823,0.59551096,0.666276,0.3875285,0.69942105,0.6498924,0.86024415,0.30243802,0.8918184,0.6951165,neutral
0.14497136,0.5072701,0.23661861,0.42360497,0.2454586,0.6086234,0.4039684,0.4004334,0.39473313,0.6596448,0.4437757,0.48255414,0.43009126,0.5856925,0.50273454,0.47611284,0.4996291,0.5915247,0.66108847,0.37234798,0.6860223,0.65559417,0.86849594,0.3047602,0.87471956,0.72053003,neutral
0.13154563,0.4751031,0.23948662,0.38754284,0.24844326,0.58990365,0.40532732,0.35856673,0.39687774,0.6311956,0.42843196,0.44527724,0.44055754,0.54430634,0.4960722,0.44125092,0.49650973,0.56015617,0.6734833,0.34127715,0.69470733,0.62638545,0.89916754,0.3088524,0.8773787,0.7453573,neutral
0.12762019,0.4277751,0.22522536,0.33495173,0.23697853,0.5300179,0.3811857,0.31566742,0.38127267,0.5850464,0.46010217,0.37506354,0.44002128,0.508502,0.4998339,0.3903755,0.49509487,0.50931424,0.66054153,0.3038242,0.68568987,0.58449525,0.8881701,0.30867103,0.84810513,0.7086417,neutral
0.122300275,0.40741453,0.21583587,0.30705804,0.23404574,0.5022032,0.36421657,0.28226525,0.36697698,0.5466984,0.44224894,0.35238054,0.44845974,0.48506853,0.49399087,0.35732564,0.4929369,0.4709975,0.6616813,0.29107472,0.67064613,0.5375781,0.8780803,0.31453273,0.8429712,0.66634244,neutral
0.119899005,0.41155568,0.21675093,0.31417462,0.22545713,0.50702995,0.36230928,0.2923236,0.36976475,0.5507929,0.43688607,0.36479896,0.44155532,0.4906485,0.49095255,0.36120015,0.48968953,0.47218582,0.67160726,0.3063941,0.66471195,0.51414615,0.8789227,0.35668716,0.8227443,0.63078696,neutral
0.11885869,0.42399216,0.21396324,0.33453608,0.22410962,0.53638256,0.3649344,0.3240222,0.3670859,0.5685581,0.45059732,0.36745703,0.4225135,0.4993097,0.4906922,0.38846147,0.48896953,0.49582347,0.65834194,0.33475447,0.64593685,0.5063238,0.87938696,0.39440942,0.8178094,0.59760594,neutral
0.11781478,0.44440436,0.21793929,0.3549563,0.21973114,0.56369853,0.37446553,0.33999524,0.37422478,0.58625907,0.4546007,0.3951409,0.427002,0.510632,0.48918474,0.40114158,0.49011752,0.5088005,0.6704842,0.3505723,0.6466649,0.50082153,0.8678693,0.41238692,0.81710577,0.57023335,neutral
0.129534,0.466869,0.22656207,0.3716595,0.23124637,0.58641475,0.3789348,0.36664158,0.3720376,0.6165475,0.4304184,0.43502715,0.43425867,0.53371465,0.49588576,0.4210968,0.49681845,0.53285587,0.68292373,0.36094016,0.66504973,0.4943732,0.8798019,0.42804155,0.8391383,0.535358,neutral
0.122266255,0.45455542,0.22347313,0.3662367,0.22506052,0.57271516,0.37792686,0.36672825,0.3685411,0.6127673,0.4336938,0.42341122,0.4363264,0.53220767,0.50013417,0.41761842,0.49927333,0.5282361,0.67444766,0.34546784,0.65247124,0.46822342,0.8790551,0.40828285,0.8446121,0.4837873,neutral
