nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.11852442,0.39362073,0.2175471,0.39525297,0.21974437,0.4758226,0.24286067,0.4335503,0.33044142,0.60677975,0.25758377,0.50988495,0.40482807,0.72548854,0.47432268,0.43367535,0.4823857,0.48077396,0.6385424,0.57812345,0.70403886,0.49035367,0.84757054,0.5155151,0.8765685,0.31633285,serve
0.1388198,0.3775553,0.23753068,0.38527614,0.24128906,0.4668239,0.07877347,0.38430545,0.35606638,0.6109837,0.24452195,0.4645338,0.41417125,0.7164225,0.50024843,0.43509543,0.5090584,0.48144996,0.7095479,0.5035967,0.72374105,0.5205324,0.8674782,0.5011383,0.8639684,0.31051475,serve
0.18293764,0.3846618,0.260796,0.37069383,0.28416187,0.43675768,0.1325217,0.3562961,0.3821184,0.56562585,0.033249162,0.35425714,0.43347415,0.7001687,0.53664875,0.43711418,0.5461073,0.48064968,0.7231181,0.5113047,0.7436318,0.5319583,0.8917294,0.48104513,0.89451855,0.33377808,serve
0.24856202,0.37271467,0.3267247,0.38579544,0.3465043,0.42495933,0.18031754,0.3712452,0.42923996,0.549168,0.08071576,0.33532512,0.4647278,0.66408473,0.5595606,0.4542503,0.56517726,0.47039065,0.7398153,0.53040195,0.7551079,0.5326186,0.88609785,0.47368467,0.8761181,0.35751033,serve
0.28079802,0.3921188,0.36201066,0.39635265,0.36933,0.41114268,0.44179443,0.5462801,0.20974235,0.37029478,0.1165902,0.33364585,0.11433866,0.33702987,0.5705219,0.46684375,0.5727283,0.46545693,0.7470019,0.5507354,0.7599418,0.5581317,0.8640891,0.45673713,0.8583394,0.40006116,serve
0.2855027,0.46475434,0.37001523,0.47171065,0.40188706,0.48583218,0.4436323,0.62637603,0.4508693,0.626593,0.4111619,0.7457706,0.40996543,0.7471044,0.5856174,0.5350157,0.5887064,0.5377377,0.77097774,0.6013938,0.77974373,0.6508616,0.89070517,0.51336354,0.8731004,0.5013897,serve
0.113925464,0.3461395,0.21164396,0.40603998,0.27079496,0.36883315,0.31052136,0.55658954,0.31859514,0.5459741,0.20762616,0.6564615,0.20213248,0.6536618,0.5236284,0.44806746,0.52679044,0.4489886,0.7213967,0.53846514,0.7324162,0.60305804,0.8689459,0.4111245,0.8541128,0.41358373,serve
0.12768106,0.37230274,0.2144463,0.4107349,0.27660927,0.38557443,0.27934813,0.5786878,0.28989074,0.56899935,0.15019514,0.6269723,0.15229204,0.6210937,0.5247092,0.46851963,0.52668184,0.47334388,0.72051936,0.56680995,0.7281107,0.6455264,0.8854401,0.4425426,0.8658053,0.46719295,serve
0.11361588,0.37543565,0.23432349,0.3953627,0.24189791,0.40889668,0.2509924,0.5671494,0.25492227,0.5693222,0.10868311,0.5884381,0.10606486,0.58935374,0.519004,0.4873512,0.5174715,0.50126207,0.70416546,0.5964569,0.7177566,0.6808801,0.88202983,0.478289,0.8518294,0.50494,serve
0.126337,0.37927568,0.24599476,0.40940094,0.2547143,0.39187852,0.26708773,0.54419124,0.27574757,0.53405625,0.13341711,0.5438913,0.13166472,0.53909594,0.528249,0.4918287,0.52939075,0.5016097,0.7232416,0.5614566,0.7233479,0.6939941,0.9021527,0.49010244,0.86830544,0.51199937,serve
0.11588314,0.36068502,0.22339676,0.38929325,0.23170626,0.37967494,0.25859573,0.50646585,0.21270022,0.38485804,0.09526685,0.5018055,0.17188016,0.38146555,0.50369394,0.47335848,0.50659704,0.48533067,0.711698,0.5421283,0.70084494,0.67899483,0.88515514,0.4476646,0.865675,0.531874,serve
0.1495693,0.35756677,0.24200843,0.37217155,0.23181829,0.40260056,0.108538054,0.33061272,0.11843407,0.35087147,0.030784132,0.31949311,0.04236677,0.38682312,0.5056505,0.47427222,0.5084781,0.497411,0.7055542,0.53428733,0.69288284,0.66955054,0.89099807,0.44575766,0.8733818,0.54212904,serve
0.1985635,0.3957033,0.3056485,0.39316976,0.3118931,0.41957873,0.15732552,0.3606149,0.1656446,0.37312245,0.041371193,0.30597273,0.06319786,0.41733325,0.5444527,0.48223886,0.54604816,0.51995903,0.7226958,0.5317044,0.70644665,0.65752095,0.8931211,0.4597569,0.87434936,0.5640033,serve
0.26220283,0.39321142,0.34761125,0.4058507,0.33976868,0.4354061,0.19747636,0.37845,0.19759527,0.38690743,0.11141899,0.3365116,0.12902468,0.43580702,0.54453456,0.5067386,0.5447363,0.5393393,0.72931474,0.5376676,0.71744007,0.64925706,0.8853521,0.48292124,0.87510204,0.5777112,serve
0.2975092,0.38174868,0.34735736,0.4259653,0.33430472,0.4754216,0.29290262,0.3531467,0.27332258,0.39418814,0.22292317,0.33754605,0.21001019,0.4072174,0.5314894,0.51197374,0.52689666,0.55274665,0.72877866,0.5358025,0.70362204,0.654351,0.8869652,0.50090986,0.8786334,0.5872789,serve
0.21541625,0.40683317,0.2206347,0.42750597,0.22454372,0.48112866,0.17864656,0.3438308,0.22250521,0.444853,0.1841083,0.31457734,0.1752716,0.4275806,0.4495417,0.51934266,0.4426023,0.5737442,0.68141186,0.52835834,0.66842914,0.6617467,0.885723,0.4984361,0.88310057,0.60653055,serve
0.106207035,0.3639067,0.18062194,0.40572268,0.15485263,0.44716027,0.27135092,0.49680662,0.2531727,0.57804555,0.3904755,0.63599455,0.39362016,0.63969606,0.41297078,0.5254077,0.40418723,0.62118065,0.6634698,0.52993554,0.6435465,0.6802883,0.87948877,0.5136273,0.8705752,0.66060114,serve
0.09745326,0.4282649,0.14452308,0.44482213,0.16120438,0.42332694,0.15990405,0.4063013,0.21153425,0.36974972,0.12125703,0.39191285,0.12117883,0.38111645,0.4054264,0.55600446,0.40864682,0.5568932,0.65750885,0.5200632,0.6413765,0.6484406,0.8796398,0.49861684,0.8665992,0.6601741,serve
0.11271313,0.36122903,0.24377581,0.334048,0.17358507,0.42376614,0.20783667,0.40379718,0.056034654,0.4762585,0.13183436,0.43280888,0.06089933,0.42469248,0.4187717,0.5229897,0.41712537,0.5323842,0.63035303,0.61894894,0.657106,0.49964458,0.8370388,0.6571141,0.8761086,0.4952774,serve
