nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.11858197,0.56387,0.17636889,0.5048819,0.17911299,0.40531194,0.24287418,0.61664206,0.36386576,0.28264204,0.31692204,0.7263241,0.5042897,0.28258964,0.41205007,0.3291739,0.40929678,0.2708478,0.5883157,0.4002611,0.64610064,0.36482963,0.69527143,0.32794046,0.89158684,0.20660661,forehand
0.13514936,0.5873668,0.13942546,0.47324026,0.19104256,0.45862278,0.16607276,0.5396195,0.3960296,0.41025138,0.26455045,0.6312355,0.54902154,0.41866866,0.39554274,0.30695847,0.41723824,0.30914843,0.62494546,0.39145014,0.6715146,0.4062779,0.84283614,0.26687288,0.86517745,0.2459193,forehand
0.10369203,0.626291,0.12000806,0.50059694,0.22897571,0.54615676,0.15874189,0.4920052,0.41823712,0.5645615,0.22205529,0.5867022,0.5382554,0.62905437,0.40566447,0.35505638,0.4399915,0.39321536,0.62318987,0.45328826,0.6734295,0.46493918,0.81330925,0.3454838,0.86609507,0.3118251,forehand
0.1350161,0.6368913,0.12833224,0.48434645,0.27013794,0.6183694,0.18910858,0.3907447,0.41378772,0.68398875,0.18899734,0.48570248,0.4999688,0.7959611,0.44551638,0.36705166,0.48900616,0.46191967,0.5494754,0.48126858,0.72367704,0.4759212,0.7603907,0.4925277,0.8836683,0.31208956,forehand
0.14097051,0.5485823,0.15621813,0.4109946,0.2675294,0.5834494,0.1891855,0.29411188,0.35853836,0.69121695,0.19182205,0.39609778,0.39942285,0.8182916,0.45839155,0.303167,0.4910489,0.4159533,0.54342866,0.42531812,0.71762294,0.4118725,0.76487523,0.42858025,0.8976085,0.24595593,forehand
0.14555423,0.5480803,0.16500333,0.3839533,0.2388463,0.54351956,0.17759112,0.24336663,0.2771059,0.6773429,0.15890287,0.31427756,0.2637828,0.7946188,0.45746163,0.27361342,0.49249738,0.38741878,0.51295996,0.38564554,0.7209449,0.36734527,0.745114,0.3880058,0.89326644,0.21406911,forehand
0.10783329,0.511439,0.15916067,0.37776437,0.22029924,0.54169947,0.17006207,0.24040642,0.2033787,0.65576005,0.06361072,0.3542854,0.09774804,0.72138786,0.44825357,0.2888546,0.47684714,0.3927754,0.5332466,0.37437043,0.70653796,0.36486912,0.7326211,0.37737304,0.8895648,0.2126656,forehand
0.13901389,0.5470146,0.21307251,0.41963404,0.23320559,0.59225285,0.2515045,0.2866958,0.17506824,0.61878735,0.15281281,0.36464795,0.0962024,0.5979373,0.47412524,0.35349336,0.49417815,0.45435682,0.5814575,0.4156955,0.7230234,0.3997242,0.7391752,0.42801085,0.88952667,0.2745967,forehand
0.14615664,0.62175834,0.21029729,0.4941253,0.22859971,0.6299162,0.28618366,0.36687213,0.15551461,0.6177456,0.18103075,0.41975278,0.1367105,0.57522506,0.47838247,0.43585223,0.4950144,0.52228105,0.61190146,0.47513285,0.7017348,0.46971175,0.7496341,0.48790196,0.87458956,0.34739813,forehand
0.11060748,0.6379775,0.17881143,0.4972094,0.19847134,0.6478748,0.2937918,0.39474615,0.27048782,0.60764354,0.16581276,0.43130782,0.17019157,0.5688666,0.45586196,0.46276304,0.4710123,0.5561265,0.6242504,0.47065362,0.677228,0.5109877,0.81952655,0.418229,0.87873924,0.37280393,forehand
0.091901764,0.587437,0.181515,0.49922398,0.19678777,0.6447658,0.3204066,0.4201578,0.28137255,0.5791065,0.17121795,0.42151764,0.16209331,0.47434,0.45956984,0.4744185,0.47591156,0.57067156,0.6199319,0.46138224,0.67543447,0.5145108,0.81623465,0.4359674,0.8667038,0.42316166,forehand
0.119750224,0.5518119,0.21221074,0.46068716,0.22061633,0.6075637,0.34613138,0.42761824,0.3264686,0.5515615,0.2787253,0.38538337,0.32859924,0.43030825,0.47871795,0.46752194,0.487723,0.557665,0.62093616,0.44397944,0.67114335,0.51249814,0.8035815,0.4142217,0.8508254,0.44105443,forehand
0.13095345,0.57274383,0.22078216,0.4680768,0.23019397,0.6303357,0.35614988,0.4331332,0.33595127,0.5810426,0.37032413,0.46562546,0.37766442,0.47312447,0.4806398,0.48479953,0.500153,0.58205396,0.63339984,0.44996744,0.70628476,0.55324197,0.8355165,0.39877245,0.9066546,0.4891079,forehand
0.1343267,0.5421457,0.21825014,0.48123989,0.22397834,0.61572474,0.30396357,0.41760978,0.3590335,0.55055577,0.31660277,0.41941562,0.32015982,0.4361643,0.46919015,0.48325247,0.48195356,0.58202356,0.63036734,0.43722025,0.6864701,0.5725438,0.82823896,0.3945221,0.8754692,0.5278189,forehand
