nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13959369,0.44471753,0.2517611,0.3690977,0.22703542,0.5651527,0.41582304,0.37767074,0.3744641,0.65466124,0.4583349,0.33230028,0.38784617,0.60555863,0.51499087,0.464213,0.50696474,0.57776856,0.6379685,0.3437511,0.7128459,0.6878486,0.7835447,0.24575724,0.92706436,0.79477847,neutral
0.12633397,0.4597469,0.234904,0.39203876,0.21609652,0.585489,0.4116952,0.3853473,0.36838123,0.65152454,0.41848812,0.37313917,0.37907118,0.5969321,0.50260144,0.47530842,0.49400684,0.58483136,0.6104531,0.3523258,0.68757665,0.6798432,0.76200783,0.2634157,0.8756336,0.75872844,neutral
0.12069454,0.48976383,0.22660282,0.4090943,0.21174671,0.6111768,0.40679634,0.4018046,0.3671632,0.67236304,0.40448055,0.41216674,0.38120466,0.61301094,0.49816087,0.48297015,0.49253812,0.59778,0.6145695,0.3641639,0.6902242,0.67950463,0.7807777,0.27847493,0.88495666,0.76176775,neutral
0.12083159,0.5059502,0.222932,0.41094357,0.21571855,0.6156456,0.38443962,0.39917195,0.36900967,0.67699224,0.40736073,0.4713956,0.39275414,0.60627943,0.4956132,0.47511744,0.48883766,0.5928031,0.6323425,0.3541304,0.68788093,0.67301255,0.7988817,0.28496814,0.88711,0.74746525,neutral
0.11365611,0.50958765,0.21502519,0.4179068,0.2085572,0.62135375,0.3730906,0.3909588,0.3635561,0.6769675,0.37345192,0.49348032,0.37191242,0.59952444,0.48606884,0.47124764,0.48053986,0.589763,0.62494177,0.35962132,0.675967,0.65993917,0.81407225,0.29592538,0.870641,0.7271954,neutral
0.114516385,0.5168553,0.20483185,0.43764576,0.21437183,0.608181,0.37047613,0.3942659,0.37266994,0.67020416,0.3702721,0.47603926,0.3669781,0.5978478,0.4829864,0.4877066,0.48128796,0.57041097,0.6405763,0.36090207,0.68290055,0.65912026,0.84556973,0.30692345,0.8833436,0.72185516,neutral
0.12054298,0.52526015,0.2066326,0.42777237,0.2190915,0.61875266,0.3616177,0.38019577,0.38085237,0.66430104,0.35859257,0.4646578,0.3800578,0.5919124,0.48544246,0.4616358,0.48169297,0.571713,0.6443401,0.36945036,0.6750981,0.65413475,0.8410468,0.31362373,0.8720808,0.7071396,neutral
0.121698566,0.5346484,0.2081552,0.43158937,0.22376873,0.6228971,0.36224213,0.38092533,0.38131765,0.66745156,0.36936915,0.46872884,0.4046291,0.59978634,0.47938117,0.45674253,0.47617888,0.57084906,0.66726696,0.37242195,0.6932996,0.6568748,0.8782187,0.31486183,0.9046048,0.7185743,neutral
0.13455696,0.5341293,0.20891073,0.44916707,0.22776382,0.6002969,0.3576717,0.38695547,0.38105053,0.6549886,0.38377863,0.47488853,0.42488196,0.5738361,0.47745124,0.46643797,0.47857916,0.5447141,0.6570034,0.3693282,0.6784305,0.6467922,0.87048817,0.31687063,0.8678316,0.7044398,neutral
0.13043052,0.54596925,0.21529493,0.4355033,0.23471694,0.62482214,0.36244518,0.38288668,0.39174262,0.6628346,0.38565075,0.4458722,0.44066504,0.5882347,0.47723207,0.43941495,0.4778745,0.5566228,0.6756578,0.36962268,0.6980237,0.6464632,0.8891547,0.30733547,0.9087866,0.7298017,neutral
0.14206018,0.54243124,0.2196916,0.4308149,0.24588174,0.6154729,0.36434853,0.3770983,0.4014237,0.65379965,0.40181437,0.448455,0.45006117,0.5796977,0.4799364,0.43585846,0.47892457,0.54697543,0.67162436,0.36153924,0.69486034,0.6386407,0.8830341,0.29140356,0.90193874,0.7201783,neutral
