nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.1493672,0.3899545,0.19281866,0.42103502,0.26609567,0.37375486,0.31169122,0.49261922,0.42018634,0.40282816,0.29103208,0.5742731,0.34280118,0.5281329,0.5111759,0.52329546,0.5299079,0.4769736,0.7310781,0.6093228,0.7467558,0.63080937,0.8766577,0.47629026,0.8822581,0.45296177,serve
0.13792363,0.3942673,0.18769312,0.42791364,0.26656383,0.38126442,0.24915005,0.49046052,0.4012197,0.4055548,0.2677988,0.56590956,0.31671676,0.53017014,0.5025574,0.5252908,0.52029884,0.49079233,0.7192667,0.6273106,0.7428232,0.6421146,0.8693384,0.4860253,0.9063415,0.4607898,serve
0.13740218,0.43087527,0.20519881,0.448901,0.26739463,0.40037563,0.23484622,0.567237,0.37653545,0.40039402,0.16757917,0.5842991,0.2884537,0.51101875,0.50369656,0.5161798,0.51513505,0.492308,0.6921658,0.59582114,0.7234759,0.64035916,0.8789417,0.4787198,0.8576687,0.48189428,serve
0.11237406,0.45568055,0.18781869,0.40807092,0.23381588,0.37962532,0.24705426,0.46047276,0.35922268,0.36695293,0.2130384,0.5170901,0.23412469,0.50748783,0.4942575,0.49602002,0.50897276,0.47984275,0.680785,0.5687734,0.72354895,0.6183147,0.875491,0.48620507,0.88794667,0.45574456,serve
0.12844475,0.46029174,0.20280229,0.4324942,0.2422804,0.41437358,0.15239783,0.48733413,0.35385716,0.3701597,0.16689548,0.47448,0.21379885,0.47055084,0.4969581,0.48883057,0.50856113,0.47814545,0.6733544,0.56882083,0.7226053,0.6055078,0.83733934,0.49491993,0.90293705,0.46463946,serve
0.09864634,0.46709734,0.18225789,0.42611057,0.20484863,0.44565225,0.33548403,0.35779104,0.34347552,0.3713867,0.23404314,0.4021468,0.29074794,0.46639958,0.469267,0.47222534,0.476831,0.48571885,0.6514104,0.55903995,0.6793968,0.60883,0.81770533,0.51303774,0.86139154,0.50111926,serve
0.12997644,0.44505084,0.20104645,0.42873082,0.22500357,0.44292307,0.3521211,0.39343244,0.3571422,0.4107188,0.17249717,0.41203105,0.26645613,0.50098413,0.48695055,0.48509914,0.49606642,0.5134135,0.68930715,0.56878144,0.7079808,0.60752106,0.8638536,0.5258948,0.92432475,0.5201969,serve
0.15900367,0.45463598,0.21732754,0.4147963,0.22202705,0.4777904,0.20776097,0.39373302,0.24552403,0.48839682,0.11517555,0.39158195,0.1476472,0.4629302,0.47974136,0.4750605,0.47981605,0.53557193,0.64705265,0.5244926,0.66756445,0.58413213,0.8254286,0.5037168,0.8460127,0.5533543,serve
0.123194486,0.32402945,0.17226572,0.40998706,0.15539894,0.4659769,0.21173851,0.3965174,0.22026417,0.46501774,0.15040772,0.35082033,0.1384207,0.37604055,0.42476374,0.48773336,0.42582464,0.53600407,0.641453,0.52300173,0.6419345,0.585727,0.85419196,0.53111506,0.85569227,0.571311,serve
0.11056525,0.38149923,0.18725802,0.38128328,0.13031119,0.5162351,0.2731171,0.32035163,0.13207006,0.59607524,0.29015896,0.27115935,0.14053896,0.47053954,0.41632122,0.4948973,0.39846873,0.6027603,0.6444016,0.54497737,0.6366452,0.6301192,0.8684011,0.56403697,0.8648547,0.63067997,serve
