nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.124965616,0.41106096,0.19744596,0.43528926,0.1920861,0.51549137,0.35667154,0.40895748,0.32692108,0.46943036,0.43322936,0.32583866,0.41797385,0.35898805,0.4580134,0.50999767,0.44944677,0.57086295,0.66076195,0.42856473,0.64328825,0.56878674,0.88851655,0.51009405,0.84879166,0.6559237,backhand
0.14176542,0.42113093,0.19696973,0.45408708,0.19282395,0.5181916,0.3488946,0.4168676,0.32179832,0.49465254,0.4289105,0.32750016,0.40561438,0.36464235,0.46297616,0.5177346,0.45682624,0.5643095,0.66670907,0.45176876,0.64513856,0.5504757,0.89297265,0.5240997,0.8267238,0.6653297,backhand
0.13463756,0.42561468,0.19536114,0.46804577,0.19125488,0.50191355,0.34244028,0.42216474,0.331652,0.45476577,0.4145072,0.3278609,0.40419975,0.35045296,0.46277323,0.526331,0.4578787,0.55004776,0.6647843,0.4622099,0.6427555,0.52541214,0.8894892,0.5349895,0.8000639,0.6603695,backhand
0.13243051,0.4204071,0.18574393,0.47631708,0.18516056,0.50220156,0.3265395,0.43769798,0.33142102,0.47322848,0.39668056,0.35044873,0.39710805,0.37100387,0.46011296,0.53505534,0.4581149,0.55397063,0.6585952,0.4740479,0.64204067,0.51347375,0.8884086,0.5353831,0.7666213,0.65097046,backhand
0.13294838,0.42471483,0.18903925,0.47485226,0.1881774,0.49725312,0.32081196,0.44120196,0.31790945,0.45554534,0.3876718,0.35606605,0.38744363,0.37170964,0.45709527,0.5348148,0.45607552,0.5464104,0.6583392,0.47313353,0.644357,0.50316626,0.8892108,0.5371725,0.7553077,0.63599384,backhand
0.13581169,0.41335952,0.18107036,0.48433182,0.18853112,0.4869089,0.3104904,0.4513458,0.31477433,0.45596626,0.36848372,0.373339,0.36644897,0.38020542,0.45493305,0.5410755,0.45645106,0.5411237,0.6502981,0.48064113,0.6361629,0.4888332,0.8907102,0.54175276,0.7519025,0.6170053,backhand
0.134789,0.40367183,0.18806599,0.49415562,0.19242407,0.48575407,0.31703746,0.46272492,0.3076273,0.4589515,0.36941046,0.38486063,0.3563059,0.38756284,0.45494276,0.55692446,0.4544019,0.54382604,0.633919,0.48949343,0.6184935,0.4863242,0.8764,0.5451914,0.7502399,0.60164547,backhand
0.12808809,0.41028318,0.17715739,0.49745035,0.19004336,0.46721438,0.30537918,0.46849972,0.29727843,0.45246798,0.35113215,0.39584696,0.34365812,0.3774337,0.45328486,0.5627716,0.45421255,0.538075,0.6344373,0.4978588,0.61463267,0.4735254,0.87593657,0.55646557,0.78272027,0.5774448,backhand
0.12890938,0.42100835,0.19419958,0.52838117,0.19562636,0.5012355,0.32464814,0.5074747,0.31546444,0.48650596,0.33084255,0.42290473,0.31855363,0.42379257,0.4585409,0.5778571,0.45809022,0.55181044,0.6465044,0.51158124,0.6133265,0.47897178,0.86090064,0.5843021,0.79759824,0.5656879,backhand
0.14491259,0.4111651,0.20292443,0.52779686,0.20857845,0.4879609,0.33698753,0.5350042,0.3518651,0.4719389,0.31382877,0.44070497,0.27958196,0.44253212,0.4675941,0.57486176,0.46850944,0.5468655,0.66469634,0.5078875,0.62944037,0.46262988,0.9198982,0.58867276,0.8169306,0.53302336,backhand
0.13651115,0.41939583,0.19331312,0.52586144,0.1912618,0.43646854,0.30714974,0.511685,0.31232125,0.44214693,0.33652687,0.44165093,0.33397153,0.4140653,0.44116622,0.57372713,0.44230884,0.5288293,0.63349456,0.4946686,0.6001631,0.45763022,0.87206364,0.5752862,0.7802772,0.49550694,backhand
0.14242987,0.4192585,0.18665762,0.52334267,0.18925738,0.469292,0.31950352,0.5062939,0.30930632,0.47373322,0.34339932,0.44776416,0.34407562,0.4279755,0.45137787,0.5672719,0.45027232,0.5346604,0.6389147,0.4883872,0.6064012,0.45571116,0.8881834,0.57748103,0.78948575,0.50200623,backhand
0.14215642,0.4130242,0.20555428,0.51330185,0.18990687,0.49915153,0.35048124,0.47110358,0.32774776,0.46272647,0.38160205,0.41305062,0.37469792,0.41705796,0.45593977,0.5575987,0.4504783,0.5433096,0.6358613,0.4654699,0.61704415,0.45562914,0.86724734,0.56777626,0.7863467,0.5166339,backhand
