nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.14893842,0.66833794,0.19947991,0.57628256,0.21090609,0.58258927,0.352307,0.5513242,0.34987703,0.56841516,0.46665615,0.61908805,0.32578856,0.71254057,0.48611096,0.5198335,0.48500755,0.5143271,0.6242818,0.6473314,0.71389586,0.5247003,0.84675777,0.5709848,0.8717592,0.3351013,forehand
0.11023452,0.68733144,0.18540375,0.61108667,0.1942562,0.6020455,0.33072516,0.5707899,0.326472,0.57024664,0.4492417,0.64297616,0.3140791,0.7401371,0.4851367,0.5433155,0.48208687,0.5337925,0.6353503,0.6761944,0.71604186,0.5578524,0.87093675,0.6279466,0.8698043,0.3485392,forehand
0.1649527,0.70231265,0.22479121,0.61017466,0.22338285,0.59343344,0.36561587,0.6021133,0.34418774,0.56268126,0.47199374,0.7113167,0.328425,0.7225381,0.5159108,0.5355463,0.51198566,0.5334747,0.7221596,0.61080724,0.65981567,0.66471845,0.8667486,0.36588147,0.89550155,0.6098701,forehand
0.14739452,0.70629793,0.20118266,0.62278247,0.19706866,0.594478,0.35134763,0.6291884,0.32034752,0.549204,0.4200912,0.7402431,0.31267294,0.70062864,0.49310496,0.53732616,0.48656183,0.5291311,0.69238955,0.60838735,0.69400823,0.6495028,0.8952452,0.5625105,0.826271,0.39704552,forehand
0.13685746,0.6618007,0.19649345,0.5815588,0.18987738,0.54295194,0.3367973,0.58685344,0.31246835,0.49864617,0.40490097,0.68569136,0.33259484,0.644598,0.4866152,0.49912563,0.48386294,0.48564678,0.69370264,0.5744052,0.7009943,0.6242706,0.8967119,0.50063455,0.82645553,0.3754836,forehand
0.16188899,0.67199844,0.21264037,0.58130294,0.22213995,0.55334795,0.3307706,0.6130131,0.3208859,0.592825,0.40217632,0.7326884,0.35179898,0.69072884,0.4977773,0.5039406,0.4957525,0.49284548,0.6706969,0.62302005,0.6697053,0.6771092,0.84195477,0.48083034,0.8221971,0.4763539,forehand
0.13528058,0.6264654,0.20710881,0.53657794,0.19549088,0.4993437,0.35423028,0.54565465,0.3135909,0.44516477,0.37505463,0.7012505,0.3009725,0.6111881,0.51528203,0.41142458,0.51444185,0.4146803,0.7000661,0.5028811,0.6875519,0.6524192,0.9180723,0.36966002,0.911467,0.48797235,forehand
0.16716048,0.63952154,0.19984442,0.53727746,0.20195648,0.5280948,0.31087902,0.50617945,0.32129836,0.527527,0.2997579,0.6205617,0.30608466,0.6387212,0.49566618,0.41957828,0.4977573,0.43625247,0.67788935,0.50448465,0.65170205,0.6695217,0.8713687,0.33596438,0.89236766,0.6024674,forehand
0.14322919,0.70175886,0.19933628,0.6145121,0.20302087,0.5730209,0.279462,0.6484826,0.29207447,0.52916986,0.3162317,0.7273165,0.31081507,0.67544216,0.48748088,0.48207778,0.48887902,0.47500113,0.68003404,0.5243999,0.64046776,0.7237313,0.85357994,0.35118848,0.90341586,0.74694926,forehand
0.17137827,0.70459914,0.19531864,0.59139097,0.2154743,0.5768925,0.2645529,0.5695752,0.32210535,0.54640895,0.28288105,0.6852091,0.35798654,0.65414727,0.4853213,0.47706902,0.489055,0.47470814,0.67651856,0.49943912,0.64624417,0.7192175,0.8381954,0.310715,0.89893085,0.82548803,forehand
0.15128224,0.7004023,0.18040945,0.5929459,0.19486022,0.5688716,0.30461386,0.5554657,0.32977006,0.5296886,0.27614567,0.6756411,0.41388622,0.63615584,0.46832237,0.461986,0.47297725,0.4578062,0.6719959,0.4523728,0.64471626,0.70352614,0.8158727,0.25131446,0.88828456,0.82971734,forehand
0.1498828,0.72116685,0.18242647,0.5575219,0.21897449,0.61085135,0.3427044,0.51562023,0.41104284,0.57964367,0.4551274,0.5735033,0.53359354,0.65936244,0.48613366,0.44932416,0.4958869,0.50401694,0.68486845,0.43890014,0.66570836,0.72245336,0.8063497,0.24292794,0.9043905,0.83230025,forehand
0.1571061,0.73309547,0.15362173,0.54332167,0.24591115,0.64760923,0.22464477,0.4317323,0.45260903,0.63520455,0.27191716,0.514409,0.5155174,0.6997777,0.47327188,0.44752413,0.4971818,0.5175412,0.67481333,0.4406565,0.63758916,0.74117774,0.7977004,0.2502663,0.8894405,0.82451046,forehand
0.15701555,0.72569054,0.17301741,0.5316917,0.24697135,0.67170596,0.25213557,0.41600078,0.4348244,0.67524385,0.29832512,0.5185708,0.53208447,0.693805,0.47081596,0.4451922,0.49141094,0.53797466,0.67705333,0.44959518,0.6310703,0.7598225,0.81089133,0.26202145,0.88578004,0.78850096,forehand
0.15435386,0.7223635,0.18167734,0.54076123,0.27230355,0.71750295,0.2694295,0.4244058,0.47361848,0.73527384,0.30862123,0.54118717,0.5620936,0.8699695,0.47527796,0.44907713,0.49908763,0.546521,0.66878825,0.45976382,0.63778305,0.78239083,0.8209476,0.30143788,0.8961104,0.77418363,forehand
0.14294496,0.66044503,0.16320477,0.48482284,0.26918715,0.6698766,0.27376875,0.36648655,0.43469486,0.68541,0.30002922,0.46863505,0.4904398,0.8367398,0.47904196,0.3928354,0.49747875,0.49259093,0.64385766,0.41467023,0.6231077,0.730991,0.82398146,0.2747605,0.88080055,0.69509125,forehand
0.1408644,0.6463208,0.1610828,0.4602465,0.2588055,0.6481473,0.28705195,0.34484535,0.40995055,0.6786235,0.31554028,0.4563535,0.42012382,0.78456545,0.4810079,0.36459804,0.5001787,0.47440237,0.6173434,0.3923809,0.6262238,0.68778974,0.82366616,0.2756004,0.8833483,0.6393588,forehand
0.13552806,0.66348207,0.17020325,0.4650913,0.23909938,0.6429246,0.2881587,0.34491283,0.38398775,0.6884029,0.3051542,0.4437913,0.32268912,0.7242745,0.47416243,0.36857483,0.48834118,0.4802467,0.609776,0.3920056,0.63583946,0.6678137,0.8312681,0.30255753,0.8881941,0.6104709,forehand
0.12281827,0.6286366,0.16445097,0.4700218,0.23722683,0.6545593,0.28377554,0.3534354,0.34193844,0.7113379,0.3071325,0.42339858,0.26895413,0.67915106,0.46365866,0.37257802,0.47948524,0.48886353,0.6062669,0.4115843,0.63500655,0.6510084,0.83408016,0.3478465,0.88371336,0.6008488,forehand
0.11100121,0.6233762,0.15750635,0.45515394,0.20924592,0.64639485,0.27782297,0.34462166,0.30121127,0.7002969,0.3023074,0.43412697,0.19830383,0.67454755,0.45292622,0.37336573,0.46321678,0.4895611,0.60919183,0.40699756,0.64417124,0.63171256,0.8340325,0.36508507,0.8871395,0.57463753,forehand
0.12885615,0.62768996,0.16096528,0.45395967,0.19413835,0.63040143,0.27591646,0.33812118,0.24914916,0.6949085,0.31988144,0.42323828,0.2046262,0.7065447,0.44491637,0.37081027,0.4499396,0.4889926,0.6106562,0.4188274,0.64181757,0.6122519,0.83593047,0.3796765,0.88391525,0.55403566,forehand
0.124077946,0.60500664,0.15276103,0.43472704,0.17386009,0.6258492,0.268592,0.32636863,0.21779327,0.6955842,0.3137196,0.41563278,0.19612749,0.7196818,0.4408313,0.37364176,0.44323397,0.49568552,0.60814404,0.41847023,0.6434242,0.5972875,0.83678555,0.37802112,0.8889076,0.55485326,forehand
0.102331184,0.5890215,0.1566977,0.43418032,0.17560247,0.62629026,0.2751097,0.3178626,0.20905146,0.6944583,0.32805878,0.3795894,0.16936532,0.67591596,0.44271034,0.37647936,0.4456513,0.49906436,0.61077785,0.4169591,0.6443499,0.59310514,0.8329595,0.37425402,0.8910629,0.5642702,forehand
0.120512195,0.58769417,0.17725568,0.43714577,0.19386438,0.62194043,0.28690118,0.33322802,0.21031813,0.6929815,0.34152973,0.38870665,0.17367445,0.67924714,0.4537293,0.3936224,0.45896974,0.5127546,0.63059974,0.42062235,0.65550005,0.61140186,0.8392088,0.37992293,0.8911904,0.5932811,forehand
0.12590496,0.59440327,0.18000236,0.44165164,0.19646308,0.6243668,0.28934866,0.33588555,0.2051665,0.7024222,0.36648142,0.38357258,0.13358065,0.70312345,0.45537838,0.41188347,0.45914635,0.53192,0.64614946,0.42017007,0.6640342,0.6197622,0.8472487,0.3768073,0.8908579,0.61639094,forehand
0.123610124,0.5684736,0.18410413,0.43639925,0.2073622,0.61516243,0.2918672,0.33061257,0.20960683,0.70274687,0.38104782,0.36682895,0.13155787,0.6849611,0.46578214,0.420544,0.46884313,0.5428675,0.65447444,0.4198264,0.67623466,0.62789035,0.8521398,0.35935393,0.8930461,0.64887446,forehand
