nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.120179184,0.46470624,0.21403006,0.41744298,0.21174732,0.5896585,0.3672244,0.38373488,0.35345286,0.6464923,0.37104908,0.45654553,0.37243387,0.5519103,0.47697333,0.46506932,0.47548798,0.57619154,0.65845335,0.3969026,0.66946965,0.5737109,0.88364416,0.41829786,0.88695824,0.589582,neutral
0.13682061,0.46998858,0.22716582,0.40270385,0.2255614,0.5793778,0.37350443,0.38061264,0.35642368,0.6427368,0.38965216,0.45578325,0.3927769,0.55091405,0.48324704,0.45131359,0.4821854,0.5603178,0.6550573,0.39954087,0.68328017,0.57021785,0.87269056,0.43114418,0.8877291,0.57565624,neutral
0.11905956,0.46489015,0.21483085,0.39456663,0.20962305,0.56812054,0.35803035,0.36076298,0.34925705,0.637871,0.38631177,0.43418515,0.38735208,0.5518544,0.4761621,0.43961936,0.47469962,0.55640143,0.6657654,0.40978336,0.6802386,0.56568944,0.87352103,0.44299445,0.8798271,0.5669307,neutral
0.1414752,0.4777169,0.23298931,0.39446822,0.22296187,0.570325,0.37439507,0.3595041,0.34765866,0.6436836,0.38374066,0.43593904,0.40796334,0.5697521,0.4822381,0.44908255,0.47868776,0.55927974,0.6803423,0.42506388,0.67781186,0.5685584,0.8825078,0.4628734,0.88818866,0.5711655,neutral
0.12648678,0.4804799,0.22493742,0.39526176,0.21210833,0.5695054,0.36798188,0.36368164,0.34294614,0.64601606,0.38119307,0.44377333,0.39579853,0.5649726,0.47945848,0.44929338,0.47473162,0.5626309,0.6813693,0.4435006,0.6784668,0.5699167,0.8893014,0.47080496,0.8877651,0.5701651,neutral
0.137049,0.4802795,0.23134296,0.3901942,0.21510617,0.56628853,0.37836435,0.36656958,0.34414127,0.6429134,0.3789582,0.43493554,0.39956877,0.56777996,0.48466164,0.4505177,0.47725272,0.56161904,0.6878375,0.44852975,0.6717544,0.5689694,0.88794726,0.4726652,0.87771124,0.57025975,neutral
0.13650376,0.48056775,0.23469128,0.39361417,0.2181078,0.5631694,0.37868088,0.36689544,0.34414506,0.64024305,0.37958106,0.43918082,0.39674878,0.56725234,0.48201048,0.4567443,0.4775764,0.55698156,0.68795747,0.45277736,0.67088705,0.57356983,0.8926071,0.4735118,0.87811136,0.5696293,neutral
0.13466153,0.48664665,0.2283548,0.39311492,0.21572132,0.56115746,0.3721569,0.3575025,0.34455806,0.6285296,0.3887181,0.4459768,0.40549043,0.577151,0.4822083,0.44654655,0.47703654,0.559275,0.6805581,0.457342,0.65604365,0.5821701,0.89083254,0.4757127,0.8620314,0.5670453,neutral
0.13342516,0.4980072,0.22614647,0.40098268,0.21235685,0.5695795,0.37932795,0.37489164,0.349386,0.6338218,0.393704,0.4518042,0.40346986,0.57348764,0.48110616,0.45255736,0.4755844,0.564771,0.67850244,0.46729326,0.6488811,0.5944748,0.88853335,0.48333544,0.8567347,0.57780427,neutral
0.13342732,0.499356,0.22529642,0.39985895,0.21637957,0.5785884,0.37970445,0.3762096,0.35740358,0.62263566,0.3872491,0.46134734,0.39557555,0.55635065,0.48478785,0.45351842,0.4778769,0.56612545,0.6834218,0.46546596,0.6492563,0.6045712,0.885163,0.47984555,0.84751153,0.58535117,neutral
0.13356966,0.50535643,0.22285517,0.41609582,0.21387683,0.58110946,0.3621589,0.37569702,0.34487346,0.6258972,0.39155677,0.45896238,0.4028362,0.5683229,0.48095152,0.45776668,0.4732614,0.5683191,0.6828075,0.47248575,0.6464681,0.61091053,0.88608456,0.4816675,0.8477203,0.5949028,neutral
0.122465916,0.5102909,0.21398054,0.41648346,0.20117219,0.5848521,0.35895312,0.391435,0.34470692,0.6203129,0.39704108,0.46814325,0.4128735,0.5780117,0.4749953,0.46060523,0.46992716,0.56985646,0.6714928,0.47520703,0.64422804,0.6126377,0.88795596,0.4805488,0.8458886,0.60303754,neutral
0.1267853,0.51255494,0.21612298,0.4160954,0.20838137,0.5868436,0.35888252,0.39180505,0.34973186,0.61943024,0.4076865,0.48468816,0.4308233,0.5832485,0.4770435,0.45875648,0.47236297,0.5687626,0.67507017,0.47079578,0.639484,0.6106311,0.88403565,0.48228273,0.8505418,0.6067217,neutral
0.12664197,0.5153821,0.21984087,0.4138468,0.21047813,0.59325445,0.3711092,0.3883921,0.36090723,0.62115216,0.39360425,0.489212,0.42065817,0.56648624,0.48377874,0.45680636,0.4790589,0.5691698,0.68005455,0.4658261,0.6475658,0.61168617,0.8890277,0.47502714,0.8539049,0.61132795,neutral
0.1363418,0.5137287,0.22193581,0.4139905,0.21474986,0.5908487,0.38337925,0.40031007,0.3638283,0.62526155,0.3836119,0.48841432,0.38904908,0.5556996,0.48028773,0.45339692,0.4761644,0.5655277,0.66913277,0.46527457,0.6475476,0.6063751,0.8796293,0.4739551,0.8557586,0.6076876,neutral
0.12427151,0.52156425,0.2195931,0.41335112,0.20983009,0.5952398,0.35651577,0.38220602,0.34713823,0.6319802,0.37362012,0.474592,0.36980897,0.5470874,0.4789183,0.45176554,0.47648346,0.5661337,0.68299407,0.45524263,0.6557971,0.59805685,0.88887054,0.45740902,0.8710144,0.6086047,neutral
0.13697094,0.5094288,0.22985972,0.41552806,0.21977195,0.5925967,0.37274605,0.37838334,0.35757115,0.63158834,0.3863074,0.46270284,0.38518298,0.57051116,0.48435482,0.4545618,0.4807235,0.5630849,0.6736118,0.45417276,0.6567653,0.5942901,0.88747114,0.44881928,0.87241745,0.5944177,neutral
0.13111113,0.49851793,0.22336802,0.42066705,0.21296449,0.595474,0.3629177,0.3813195,0.3460944,0.63646764,0.3901597,0.46157208,0.3673175,0.56144154,0.46564153,0.4535732,0.46344122,0.5649229,0.65876734,0.45138648,0.6556838,0.5938418,0.8750481,0.4517068,0.86991626,0.58805877,neutral
0.13102537,0.509427,0.22630236,0.41955274,0.21827722,0.5845647,0.34100914,0.38010803,0.3497558,0.6360412,0.37222686,0.49558693,0.37314227,0.57753164,0.47460398,0.48248363,0.47484735,0.5323727,0.6615567,0.44854793,0.66482043,0.57646114,0.87957263,0.44684228,0.87821,0.4431731,neutral
0.13072589,0.52701306,0.19334254,0.523583,0.21069603,0.512815,0.34314454,0.62789476,0.34728992,0.6323117,0.37115002,0.58643514,0.3674705,0.49883917,0.45361373,0.5110302,0.45440987,0.4901165,0.6550447,0.44344336,0.65512115,0.4504754,0.8883256,0.57627505,0.87099105,0.43165204,neutral
0.13943398,0.4718308,0.218298,0.37871414,0.2231537,0.5710534,0.3377043,0.35230646,0.3658965,0.6142092,0.38237175,0.4213771,0.38852376,0.5752446,0.46124354,0.41764042,0.45943075,0.5290487,0.64343643,0.4013687,0.65517056,0.5539417,0.857554,0.4017039,0.88828427,0.5488063,neutral
0.12020698,0.48701528,0.20752808,0.40772164,0.20320277,0.5713411,0.31845757,0.37428808,0.34345752,0.63882923,0.38976252,0.412537,0.3708215,0.5752729,0.43784103,0.43107313,0.4352056,0.53581303,0.62981343,0.41711152,0.6497067,0.5695246,0.843524,0.42292535,0.886745,0.5691078,neutral
0.10683939,0.48547536,0.20001002,0.40494695,0.20611449,0.57929367,0.31888783,0.37721634,0.34370154,0.62348187,0.40722016,0.4119898,0.37846798,0.57808006,0.44380286,0.43850136,0.43962,0.5332634,0.6354445,0.41605085,0.65647435,0.56227565,0.8489335,0.4214097,0.89121085,0.5625362,neutral
0.15582715,0.52465844,0.19234969,0.46237043,0.20221052,0.5743964,0.30262214,0.37247786,0.35648984,0.6104368,0.4202507,0.41200146,0.36178613,0.58683527,0.4593695,0.45579025,0.4620833,0.5295713,0.65046674,0.41603577,0.673872,0.55837005,0.8378295,0.42531464,0.89147073,0.5681803,neutral
0.11042412,0.51675224,0.13413918,0.52447504,0.1420991,0.51290745,0.19880371,0.56008327,0.2653878,0.45777398,0.1750626,0.53883356,0.2578188,0.46403897,0.42050806,0.52793837,0.42290398,0.4822014,0.6395503,0.5628748,0.62839884,0.4226123,0.8767159,0.5759942,0.8269834,0.42755124,neutral
0.4632655,0.71697646,0.51235795,0.5465197,0.50127333,0.55575633,0.51901627,0.5498306,0.4844466,0.7150708,0.5261213,0.5417849,0.5028164,0.7118188,0.50124055,0.7128562,0.50387686,0.7152206,0.53438693,0.54770815,0.51931465,0.7146856,0.5430261,0.7119628,0.5421964,0.71451175,neutral
0.46210468,0.71403676,0.4705311,0.7112994,0.4668767,0.7128673,0.4749953,0.71354514,0.47391275,0.7148405,0.49629572,0.7111801,0.4946507,0.7119265,0.4961233,0.71700823,0.49846438,0.7201682,0.51986855,0.71163696,0.5177279,0.715855,0.54704523,0.7074613,0.5464408,0.71087885,neutral
0.46660832,0.71196127,0.47395235,0.70934194,0.4708768,0.7133101,0.48208463,0.7085865,0.48084617,0.71333355,0.50155056,0.7081131,0.4993195,0.7114341,0.5011634,0.70199066,0.50428885,0.7186606,0.5266837,0.7095285,0.525408,0.71521103,0.5462972,0.7039772,0.5466205,0.70992595,neutral
0.4663731,0.715807,0.47432122,0.7121871,0.47142494,0.71705556,0.48200858,0.7100687,0.48125702,0.7145958,0.5009301,0.7134234,0.50222784,0.71507597,0.5037167,0.7133712,0.5053893,0.71989506,0.5284579,0.71359175,0.52780336,0.7173885,0.55095285,0.70783424,0.5512957,0.7129478,neutral
