nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13734847,0.51488584,0.2307992,0.4843023,0.23487258,0.62647545,0.3979914,0.45711413,0.35451,0.6044115,0.45568016,0.46906316,0.43557975,0.49796063,0.51318806,0.53645414,0.5105362,0.6367727,0.70054084,0.44446328,0.6903223,0.61100477,0.9178759,0.38056964,0.88860214,0.6500306,backhand
0.14058977,0.49067613,0.22257698,0.4850539,0.2232019,0.6026187,0.39488977,0.4333452,0.3469297,0.5518005,0.33689922,0.4016013,0.362373,0.4372832,0.5006342,0.55394155,0.4958248,0.63782746,0.668359,0.44365415,0.6682043,0.58450377,0.9061988,0.419924,0.87332475,0.6345657,backhand
0.13740525,0.45943898,0.21173951,0.48065832,0.2093244,0.56975234,0.3655098,0.43775976,0.34672236,0.51197195,0.33188143,0.38505805,0.35465974,0.41996384,0.49509823,0.56344974,0.48825112,0.6222447,0.65847933,0.4427826,0.64779735,0.5629732,0.88642454,0.46021622,0.84746224,0.6176282,backhand
0.12648572,0.45574817,0.20778817,0.49472243,0.20675881,0.5449779,0.37334052,0.45591974,0.35239896,0.48580214,0.34989777,0.37995788,0.3607903,0.40926588,0.4963897,0.5828104,0.49129656,0.61839795,0.6615553,0.46854606,0.65173024,0.5558514,0.88804114,0.5123747,0.8503833,0.6151965,backhand
0.13614912,0.4384771,0.20832665,0.5194048,0.20842633,0.53087234,0.35967034,0.4724461,0.3540908,0.48557913,0.3449637,0.3916312,0.37870264,0.41024405,0.49599984,0.60178775,0.49337494,0.6199452,0.66468674,0.49994403,0.65542156,0.57854176,0.87605387,0.5719674,0.8460364,0.6186115,backhand
0.14347862,0.44573003,0.20231937,0.5346932,0.2148139,0.5285052,0.3367317,0.49471682,0.34696415,0.49893633,0.32280707,0.3848344,0.3732035,0.40294114,0.48171517,0.6136593,0.485253,0.61149377,0.6725999,0.5218245,0.6701518,0.565806,0.8862141,0.6079021,0.86720276,0.6117139,backhand
0.14532661,0.4314062,0.19760619,0.53748184,0.20541042,0.52760065,0.31878302,0.50867987,0.33067626,0.50412995,0.2620432,0.39042258,0.28520882,0.42069137,0.47972324,0.6254861,0.47839332,0.6157502,0.68912256,0.5532282,0.6703233,0.56519884,0.9283887,0.66166055,0.85278165,0.6209878,backhand
0.15697056,0.40268385,0.20240055,0.5183946,0.2101487,0.5023649,0.30057406,0.511352,0.3129542,0.49579558,0.20425609,0.4062402,0.25272903,0.4140523,0.48285857,0.6001694,0.48085296,0.5879317,0.70456415,0.54949206,0.6776978,0.5518248,0.9388219,0.6496173,0.8554264,0.584304,backhand
0.2133205,0.4024538,0.24713156,0.50321466,0.24952997,0.47593665,0.3212375,0.42986214,0.371377,0.41587824,0.27981198,0.39453593,0.31276327,0.38917595,0.5074116,0.581546,0.5059207,0.55647534,0.7168447,0.53556895,0.6802791,0.5112706,0.9342801,0.617084,0.85672694,0.5571806,backhand
0.18503018,0.40296653,0.23558602,0.48749912,0.24001785,0.4746739,0.36716515,0.39726505,0.3843311,0.4012307,0.31427604,0.3789303,0.3696384,0.35672623,0.50797826,0.57994026,0.50499475,0.5596239,0.7123224,0.53001195,0.6626836,0.49001434,0.936637,0.6203825,0.8467032,0.54750776,backhand
0.19662158,0.41564143,0.23986813,0.50603527,0.25234514,0.4866107,0.29561222,0.60009986,0.39726084,0.3948309,0.28344563,0.43222395,0.32684815,0.4118137,0.5167383,0.60112554,0.5118852,0.5667153,0.7132518,0.5343692,0.65613526,0.48565704,0.939021,0.62727624,0.8505355,0.561879,backhand
0.20625503,0.3994687,0.23216984,0.5232705,0.2644579,0.46583414,0.30276555,0.6332196,0.39055783,0.44164172,0.27134645,0.5119654,0.3515846,0.41349533,0.5125988,0.5999747,0.51048285,0.55005884,0.70895153,0.52159685,0.6488389,0.4630398,0.9306289,0.6187193,0.84934807,0.55266166,backhand
0.17615832,0.39179453,0.20083998,0.5197747,0.22863597,0.4590594,0.28962293,0.646726,0.36141405,0.45544496,0.2551464,0.5171267,0.31610394,0.4146921,0.49179855,0.58078665,0.4891008,0.5449181,0.70308363,0.4966093,0.6385319,0.4467618,0.9339622,0.60993934,0.8410212,0.53871006,backhand
0.18946987,0.38013643,0.24202457,0.51009136,0.24799646,0.46083072,0.32013333,0.6393722,0.4049725,0.3915497,0.28247935,0.4970283,0.3072636,0.42020214,0.51031065,0.5643332,0.50154334,0.53312707,0.72199565,0.48342848,0.6360689,0.4253591,0.9373047,0.5951345,0.8442301,0.51344395,backhand
0.17981295,0.3809993,0.23565017,0.52011883,0.23215565,0.45241678,0.33883289,0.63719577,0.3432827,0.46107933,0.34972763,0.51390344,0.34103626,0.42139852,0.4945816,0.55813,0.48777375,0.52930635,0.71274537,0.47629413,0.6495442,0.44510612,0.9317229,0.5929162,0.84280676,0.5141954,backhand
0.16522495,0.37822083,0.23757206,0.4959497,0.2140275,0.4332054,0.35424146,0.62572634,0.29753008,0.4118123,0.5017191,0.6056573,0.4107798,0.35973698,0.4643156,0.5637773,0.45965785,0.53052723,0.7040692,0.47151202,0.6792818,0.48456752,0.93075424,0.58798647,0.8659055,0.5381364,backhand
0.17324115,0.39407548,0.21345952,0.5073901,0.23128389,0.48246697,0.34486797,0.49969563,0.35094762,0.48346567,0.4858075,0.45937577,0.41571707,0.36382422,0.4903529,0.5545019,0.49041903,0.53172016,0.6912802,0.48161036,0.6601404,0.47920772,0.9365916,0.5807766,0.83577806,0.4958055,backhand
0.19393784,0.4356454,0.23128861,0.5408885,0.22698785,0.5232109,0.3849928,0.58235586,0.36467507,0.5479058,0.4919473,0.5198589,0.45359796,0.50830334,0.49326986,0.582112,0.491181,0.5690809,0.70831233,0.53803873,0.6721381,0.5257241,0.9413883,0.61511505,0.82048535,0.5190293,backhand
0.20254655,0.41775286,0.25759366,0.46605647,0.21819489,0.5631829,0.4137494,0.4861952,0.37060687,0.5637413,0.5264509,0.44799533,0.45622605,0.53277916,0.4957337,0.5248451,0.48508385,0.5628234,0.7109379,0.5314689,0.65132254,0.5030875,0.93521535,0.59600997,0.8052383,0.50689685,backhand
0.19578387,0.42540103,0.25753495,0.4614602,0.22372727,0.56326354,0.4322533,0.4598032,0.35862818,0.58458513,0.5558637,0.41549644,0.382523,0.5207178,0.50874704,0.512478,0.49387202,0.56669974,0.7156577,0.53825474,0.6488899,0.50776505,0.9370308,0.5813008,0.8129294,0.5147792,backhand
0.20529535,0.43058768,0.2806471,0.46089786,0.23038964,0.5673325,0.44238636,0.45795578,0.19207624,0.6730772,0.57133704,0.4133717,0.12654328,0.7233817,0.5332293,0.50970286,0.5054242,0.5622891,0.7365836,0.54336464,0.6743884,0.5090175,0.9413893,0.596361,0.8426464,0.5254577,backhand
0.24899617,0.38034394,0.31981534,0.40540344,0.2690249,0.5045192,0.45777065,0.3985601,0.23385663,0.6126999,0.5927504,0.34392497,0.17121677,0.6959225,0.5541829,0.4524663,0.5262118,0.5019255,0.7394034,0.48176807,0.69026715,0.44315436,0.9371452,0.52721816,0.8565243,0.4690067,backhand
0.24476269,0.3655557,0.31008536,0.38720766,0.2654243,0.4964538,0.45878455,0.37630728,0.2117209,0.6270523,0.5852176,0.32007882,0.1427894,0.7193029,0.5582356,0.43248147,0.5280292,0.48968667,0.74134254,0.46431473,0.6952001,0.42582682,0.93643874,0.50881845,0.86050797,0.45737022,backhand
0.2609101,0.3586284,0.33049527,0.36735374,0.28892252,0.4815617,0.45986393,0.35523024,0.24738646,0.607175,0.5797292,0.3115666,0.18040529,0.7056663,0.56905353,0.4221502,0.5396479,0.4657338,0.7493992,0.45611298,0.6969078,0.41676906,0.934648,0.48642945,0.863307,0.45002455,backhand
0.2327287,0.3550775,0.30582348,0.36409375,0.27636436,0.47311988,0.4496216,0.3414015,0.2414214,0.6053503,0.5583532,0.30019385,0.18896331,0.7078261,0.5621184,0.4150952,0.5317792,0.45928735,0.7474185,0.4474987,0.6942385,0.4027278,0.94102687,0.4744065,0.8588086,0.43829045,backhand
0.20559569,0.3644867,0.2861788,0.3609541,0.2668443,0.48312247,0.42753837,0.33231306,0.23241387,0.61853784,0.53636885,0.29268295,0.19648932,0.7121073,0.54618144,0.41548365,0.5205344,0.47039196,0.7400349,0.44304702,0.695861,0.4228769,0.93806636,0.4693866,0.86437273,0.4464275,backhand
0.18512754,0.3578484,0.2668734,0.35538217,0.24815343,0.4914549,0.40063655,0.321745,0.22286548,0.6343007,0.515765,0.26566657,0.1794249,0.7235526,0.5368018,0.4162972,0.51131296,0.4731372,0.72554034,0.4418972,0.68147874,0.428256,0.9430871,0.47032312,0.8671071,0.44634303,backhand
0.18445335,0.38340884,0.2754636,0.36119255,0.25746477,0.5084122,0.40545082,0.3181674,0.24136533,0.6273618,0.5152571,0.2625559,0.19652979,0.72479135,0.5404439,0.42192867,0.51865435,0.48610884,0.725756,0.45795432,0.6835993,0.45640194,0.9329189,0.47996143,0.8759111,0.4585243,backhand
0.17463182,0.41696388,0.2732006,0.36582687,0.2620233,0.51155895,0.40614152,0.30525562,0.24445441,0.6454769,0.5118154,0.23880099,0.1977438,0.7542221,0.5313513,0.42602903,0.5145537,0.50404197,0.7268494,0.45873207,0.6949292,0.4993807,0.93388355,0.48821652,0.8752474,0.49224558,backhand
0.17991863,0.43738112,0.2806666,0.37055176,0.26686192,0.52658504,0.4110112,0.29939556,0.2562288,0.6638773,0.51097286,0.22213653,0.21663801,0.77616936,0.54237896,0.42912486,0.51970035,0.51720226,0.7450142,0.46278515,0.6890745,0.5142492,0.928577,0.49064934,0.8625945,0.520547,backhand
