nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.12247016,0.5118015,0.19259293,0.40840214,0.2135461,0.4552655,0.3381797,0.4631433,0.36503926,0.4858136,0.3569649,0.58142704,0.36704573,0.5954478,0.461081,0.34252635,0.4653106,0.40485406,0.6597295,0.3623389,0.671759,0.44809073,0.87764716,0.34986398,0.88608044,0.42287704,forehand
0.1281913,0.52842534,0.19748165,0.42328185,0.226685,0.4620268,0.33531842,0.4604017,0.37664235,0.492904,0.33353317,0.5827213,0.3571914,0.5981799,0.4687967,0.35851473,0.4749137,0.41480032,0.6635923,0.36762327,0.6777569,0.44840896,0.8811189,0.33216038,0.8902556,0.3978239,forehand
0.15472892,0.5433304,0.21659447,0.44384775,0.23659761,0.48217133,0.36488646,0.4635248,0.3875145,0.4896713,0.3528832,0.5840183,0.36109188,0.59929484,0.48542792,0.37037912,0.49256682,0.42449033,0.67634773,0.37489736,0.6966275,0.45027494,0.8845821,0.31170958,0.90078473,0.3886971,forehand
0.1506796,0.5597495,0.20696887,0.47869942,0.22472185,0.4923834,0.3401861,0.48380208,0.37008908,0.49158823,0.3381103,0.5814306,0.3525462,0.6117554,0.48130286,0.4042547,0.48971137,0.44389784,0.67748255,0.37364772,0.6928131,0.47740278,0.8452046,0.2921786,0.9007929,0.40385243,forehand
0.15987684,0.58854204,0.20626888,0.5204059,0.23074071,0.50913626,0.22033383,0.55761886,0.36653978,0.49277,0.15779276,0.7279428,0.35051873,0.6085616,0.4805726,0.43671077,0.48966253,0.4618452,0.6725618,0.38743177,0.69114566,0.5089537,0.8309658,0.28824148,0.889991,0.43475947,forehand
0.16206132,0.56604624,0.2160292,0.48952138,0.22393546,0.48021367,0.24288923,0.52251047,0.362961,0.43783945,0.15036857,0.70054275,0.3494288,0.5528133,0.49222693,0.40804702,0.49885654,0.43143794,0.6726582,0.35221556,0.6904713,0.49481663,0.8229705,0.22957376,0.89128816,0.4199613,forehand
0.1650917,0.5842326,0.21204847,0.50687623,0.22473444,0.49472606,0.32109836,0.5016565,0.35946038,0.44678205,0.32210952,0.58887774,0.34145862,0.5644987,0.48963153,0.41507465,0.49625033,0.43925813,0.6698295,0.35203663,0.68259364,0.5275986,0.83585,0.21031596,0.89130324,0.44733885,forehand
0.14422804,0.66433704,0.19931203,0.5655791,0.21055473,0.5786338,0.34360117,0.5232651,0.36139986,0.5686444,0.32281238,0.6244799,0.33121383,0.6450022,0.47017094,0.4854978,0.47830886,0.5225668,0.6643438,0.42443377,0.6748992,0.61688346,0.83825994,0.28705323,0.89106536,0.54869205,forehand
0.14435107,0.672228,0.18811454,0.5841734,0.20939842,0.5811565,0.28855062,0.5819695,0.34216553,0.5180766,0.15294893,0.90402645,0.37323782,0.5992549,0.4668994,0.48690403,0.47301543,0.5069073,0.6598657,0.4256113,0.65955645,0.6289977,0.8443357,0.28977528,0.88581485,0.5735608,forehand
0.1381791,0.55798584,0.18087278,0.47880563,0.20038442,0.47137567,0.30393124,0.4495452,0.34784314,0.40037936,0.15320116,0.7997011,0.3954815,0.497536,0.46156582,0.3619841,0.46770313,0.3855984,0.65575004,0.3118511,0.6536613,0.52322483,0.83765405,0.17097743,0.88485914,0.4768755,forehand
