nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.14130048,0.38088107,0.22815605,0.4005157,0.21913566,0.4841927,0.37865832,0.425884,0.34630936,0.46262813,0.3670379,0.34786877,0.3501613,0.35256767,0.4978245,0.43457657,0.48572275,0.50703555,0.6946382,0.39498857,0.6631466,0.54865694,0.8988217,0.39844626,0.8614614,0.6581457,neutral
0.14163649,0.3636552,0.22955146,0.38391453,0.21575813,0.47748426,0.376078,0.40553355,0.3536578,0.45191815,0.3636862,0.31478426,0.3508896,0.33850557,0.49958783,0.42610386,0.48334995,0.5016421,0.70032734,0.39216533,0.6614205,0.5391193,0.9016561,0.39482743,0.8593542,0.6566768,neutral
0.14741021,0.38022274,0.22932588,0.39407048,0.21969612,0.4817935,0.364827,0.38475624,0.35605732,0.45469075,0.35768706,0.32372242,0.34934852,0.34733835,0.4979088,0.4413804,0.4851998,0.51036894,0.69888175,0.4033986,0.66322136,0.5457328,0.9038808,0.40447804,0.8525449,0.6683953,neutral
0.1506949,0.37969294,0.23655382,0.38813475,0.22419873,0.48526204,0.3702997,0.38938272,0.3697386,0.45606193,0.37171334,0.3297661,0.3700722,0.3444476,0.4965274,0.43862933,0.4857845,0.51052094,0.6994395,0.4053006,0.661004,0.5404001,0.90476346,0.40699536,0.8436146,0.66449463,neutral
0.14531536,0.37082502,0.24017425,0.38659582,0.2218498,0.487582,0.38799486,0.38248748,0.3801694,0.4743204,0.384481,0.2904855,0.37830758,0.33774957,0.49616784,0.4425288,0.4838816,0.5166586,0.6962877,0.40518913,0.66044843,0.53542626,0.9048718,0.40770942,0.83698577,0.665253,neutral
0.15986271,0.40344346,0.2539222,0.3985762,0.23691702,0.5192279,0.4073721,0.42008254,0.3768462,0.5159747,0.3922173,0.2920246,0.37330535,0.37559664,0.510556,0.45871305,0.4920937,0.5350211,0.7044734,0.4233511,0.66949016,0.5439854,0.9078446,0.42755535,0.8418094,0.6819592,neutral
0.15908992,0.41384012,0.2582529,0.40144956,0.23597355,0.5395062,0.40970653,0.4158119,0.37156957,0.52838856,0.40064484,0.32734227,0.36606348,0.40396398,0.515299,0.46066692,0.49666145,0.55115086,0.709079,0.43824178,0.66894096,0.5625694,0.9034804,0.4427855,0.83625716,0.69886696,neutral
0.14145412,0.4189887,0.25349584,0.37762302,0.22283302,0.5357008,0.413606,0.36460754,0.35690966,0.5723358,0.3716086,0.37313533,0.3302744,0.4726166,0.50828606,0.44830796,0.48885202,0.54554224,0.6983057,0.41984916,0.66423017,0.5565893,0.90331715,0.42508137,0.83153087,0.68770176,neutral
0.15467778,0.40528375,0.25688714,0.35048845,0.23463582,0.51566964,0.40683824,0.33008477,0.36103973,0.558216,0.38241404,0.31515908,0.3412873,0.4808233,0.51623,0.41545957,0.49705964,0.5178869,0.71108323,0.3887693,0.6679351,0.53961974,0.9051159,0.40012085,0.8343441,0.65856296,neutral
0.14003307,0.43531036,0.25300056,0.3609379,0.2315292,0.53515774,0.39824206,0.341273,0.3597053,0.5923291,0.35132423,0.3701033,0.33840972,0.48876643,0.5175072,0.42409438,0.4960739,0.5336075,0.70824504,0.41032046,0.6673588,0.56863654,0.9064503,0.40809473,0.8304143,0.67400604,neutral
0.14732593,0.43393153,0.25552177,0.36106738,0.2370509,0.53578055,0.38720223,0.33714935,0.3689057,0.5929242,0.33565295,0.23538895,0.34866425,0.497717,0.51866305,0.42527857,0.5013378,0.5308628,0.7147158,0.40165597,0.6754719,0.5711276,0.9058192,0.403408,0.84502345,0.6707804,neutral
0.14319389,0.48954806,0.25751874,0.40824506,0.23895346,0.5951802,0.39033002,0.38530192,0.37790462,0.6516038,0.36052486,0.43523133,0.36558312,0.56288314,0.5234235,0.46694,0.50851905,0.57973117,0.7095113,0.44936845,0.66807073,0.6226121,0.9023497,0.443761,0.86314636,0.71137613,neutral
0.15538804,0.45428902,0.26628208,0.36901373,0.2523001,0.55123115,0.4168317,0.35709566,0.39815748,0.61123836,0.38336608,0.40153605,0.38539192,0.5071406,0.52458465,0.4245197,0.5156592,0.5387928,0.7097561,0.39140788,0.6842038,0.5919935,0.90613043,0.39553484,0.8727063,0.65105027,neutral
0.16127518,0.4653352,0.26723045,0.3724134,0.26174456,0.5621901,0.3982954,0.33951625,0.4042954,0.6102693,0.28359413,0.2773294,0.40435228,0.5229901,0.53009665,0.42328632,0.52375865,0.5439407,0.69679403,0.38354293,0.69665134,0.60006,0.9084334,0.38881913,0.8878272,0.6427558,neutral
0.16153367,0.51470107,0.2713552,0.40989718,0.26341787,0.6116039,0.42093045,0.40033436,0.41979522,0.6583066,0.36288062,0.43765998,0.40763083,0.5764291,0.53992754,0.47039807,0.5350291,0.58607435,0.7037531,0.43089983,0.7006704,0.6563581,0.9094924,0.42784554,0.897025,0.6801502,neutral
0.15495358,0.48134676,0.27288306,0.3809877,0.2659029,0.5843132,0.42858213,0.36299694,0.42432758,0.62640893,0.39335555,0.43939567,0.41862294,0.5435248,0.53631395,0.43291873,0.533556,0.55767936,0.7152692,0.38983437,0.70204496,0.61926055,0.90973324,0.3874635,0.8976104,0.64245325,neutral
0.15594165,0.4938673,0.26278788,0.392994,0.26385352,0.5914921,0.42491463,0.35670918,0.427432,0.63185847,0.4020847,0.45164436,0.43022248,0.55742794,0.53392273,0.434531,0.53196293,0.5576327,0.71659905,0.39331764,0.69921196,0.61662054,0.90848386,0.3807071,0.8962147,0.63788027,neutral
0.14117523,0.4980688,0.24365404,0.39803156,0.24375404,0.6003315,0.39527836,0.3663983,0.3910822,0.6392573,0.38250983,0.46852708,0.41724586,0.5786674,0.51216304,0.4466446,0.50987756,0.5647725,0.6973474,0.40573993,0.7051301,0.62155694,0.8904039,0.38292006,0.89044493,0.6434244,neutral
0.12036845,0.5046131,0.22303654,0.3974399,0.22234428,0.59767026,0.37491563,0.36639807,0.36706108,0.63734263,0.34892538,0.45709288,0.40847474,0.5811943,0.49665108,0.44658664,0.49212697,0.56797284,0.6977208,0.40319127,0.6956858,0.6159446,0.8871452,0.37252033,0.8845884,0.64249516,neutral
0.12194602,0.5054409,0.2200392,0.39953712,0.22131634,0.5955555,0.37162325,0.36266857,0.36800605,0.63427275,0.32969424,0.4405468,0.39703956,0.59166074,0.4970253,0.44357172,0.49416077,0.56434697,0.7001771,0.3968126,0.6903782,0.6144257,0.8841807,0.36862326,0.8810039,0.6447397,neutral
0.12594771,0.5059305,0.22179538,0.40583566,0.22887097,0.59883577,0.36920556,0.36328477,0.37020448,0.6338342,0.34082776,0.44360965,0.4280941,0.58398503,0.49687785,0.43958336,0.49698284,0.55821425,0.6881067,0.39912376,0.6900232,0.6159919,0.879888,0.36625504,0.87679297,0.65264505,neutral
0.13686818,0.50521976,0.23188801,0.40372238,0.24133992,0.59978765,0.37499025,0.35895136,0.3846679,0.6317472,0.3492978,0.44271088,0.4318361,0.5897264,0.50110257,0.43588144,0.50314987,0.55353844,0.6990571,0.3907051,0.70457774,0.6188236,0.88354224,0.35361436,0.89163125,0.6559069,neutral
0.14449342,0.5105591,0.2438377,0.41139144,0.24980423,0.599746,0.37688738,0.35393155,0.39463717,0.63280255,0.3599861,0.44948652,0.43178365,0.59028226,0.50475353,0.436247,0.50723034,0.55159944,0.69677323,0.38901934,0.7032241,0.62517995,0.8840157,0.3487689,0.8905139,0.65909743,neutral
0.15727933,0.5140293,0.2609433,0.40777925,0.26704428,0.6015277,0.39506346,0.35726985,0.40761137,0.6321847,0.41114038,0.44898236,0.46800378,0.58154804,0.51335764,0.43945688,0.51554775,0.55762196,0.70126045,0.38421685,0.70313895,0.63460463,0.8977007,0.34099314,0.90637344,0.6632993,neutral
0.16779718,0.5300703,0.26667413,0.4089934,0.27545345,0.60002786,0.40912426,0.36330837,0.42624754,0.63886905,0.44764304,0.4543136,0.49782628,0.5865713,0.5338609,0.4399019,0.5351112,0.56259114,0.7195661,0.38438314,0.7175856,0.6522098,0.9124253,0.34002414,0.91797274,0.66484874,neutral
0.18424025,0.52188736,0.28180712,0.40769008,0.29338548,0.59773755,0.4223635,0.36562237,0.45311323,0.6277725,0.46980554,0.45233768,0.4974247,0.59175736,0.5564237,0.43376237,0.5571058,0.55826086,0.7206398,0.3848097,0.71543324,0.64848083,0.90607625,0.33696645,0.92140776,0.6609604,neutral
0.1723228,0.5320573,0.266305,0.4090906,0.28667444,0.5918187,0.41375798,0.38558158,0.45081204,0.6320832,0.49674547,0.44317645,0.5165606,0.591314,0.5461091,0.432426,0.5436719,0.5547112,0.71302396,0.38861138,0.6939591,0.6504445,0.89953405,0.33264196,0.91523075,0.66528344,neutral
0.16117431,0.5266395,0.2525179,0.40914014,0.27655026,0.5810042,0.3810349,0.42511827,0.4316766,0.61506605,0.4629449,0.51148486,0.49610502,0.59552795,0.5323662,0.42084038,0.5318438,0.5300516,0.6963462,0.3977158,0.6861098,0.6483321,0.8992918,0.3332763,0.91720104,0.6657137,neutral
0.16204676,0.5499572,0.23973893,0.42244494,0.27319065,0.564969,0.3767977,0.45345062,0.4508008,0.6180119,0.34969756,0.595188,0.3466996,0.6301645,0.5193803,0.41507718,0.5242645,0.5152948,0.6894652,0.40748778,0.6925801,0.629221,0.89718,0.3356277,0.9132884,0.6599558,neutral
0.15043326,0.54788023,0.22380501,0.43035123,0.2532479,0.5548643,0.35685173,0.47367644,0.42376977,0.6145682,0.32248753,0.60602796,0.3254548,0.6480051,0.5010135,0.411227,0.5061724,0.5056838,0.6859585,0.4071671,0.68312216,0.61487484,0.8970679,0.33561346,0.9046256,0.64383405,neutral
