nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.24260862,0.5414535,0.29449907,0.41774732,0.29393226,0.5130891,0.43359333,0.42411706,0.46071386,0.5776708,0.5396189,0.46673062,0.55386275,0.6651972,0.5480537,0.3599358,0.55244803,0.44286045,0.7510469,0.40491536,0.7882417,0.51868254,0.92487043,0.3445422,0.9853587,0.5021856,backhand
0.23848164,0.5346489,0.2887493,0.4201734,0.2826911,0.50106883,0.4382104,0.42213228,0.4505028,0.5488019,0.5609644,0.4705733,0.5533533,0.65379816,0.549933,0.35660914,0.5526541,0.43276438,0.74639523,0.40549457,0.7845136,0.5111091,0.9295162,0.33323896,0.9881191,0.48884097,backhand
0.23633385,0.5483703,0.2923222,0.42971227,0.28351778,0.5033839,0.4399577,0.45537168,0.4538727,0.5505693,0.54302174,0.46501338,0.54247624,0.65093094,0.54683477,0.36336842,0.5514973,0.4314489,0.74712896,0.4183902,0.7787037,0.5150883,0.92065996,0.33540872,0.98611736,0.5038398,backhand
0.2366483,0.56052,0.2859438,0.44276643,0.28474137,0.5068379,0.43564814,0.492004,0.44410485,0.55429554,0.51737475,0.6261128,0.54204786,0.65160394,0.5456712,0.37100527,0.5501222,0.42776674,0.7415681,0.42145655,0.775072,0.517767,0.9254439,0.3335844,0.98435235,0.505212,backhand
0.23945996,0.5598035,0.28303897,0.46231228,0.28490147,0.49966216,0.4222561,0.5129894,0.437731,0.5467226,0.49854788,0.6181636,0.53206366,0.625552,0.55075294,0.38534018,0.55508083,0.42655668,0.74308187,0.4237492,0.77443904,0.5194854,0.9238621,0.3374623,0.9805784,0.515793,backhand
0.24444337,0.5769354,0.27814847,0.48498172,0.27446353,0.5188676,0.4173946,0.5180545,0.42108154,0.5407938,0.49239114,0.6189437,0.5183329,0.63188297,0.54043907,0.4071108,0.5411105,0.4407149,0.7435331,0.43159616,0.7634399,0.53256226,0.92147726,0.34999564,0.97251856,0.5288268,backhand
0.22199471,0.5783583,0.26689178,0.51392275,0.25494972,0.5119147,0.40071648,0.53885686,0.410623,0.51427686,0.4646532,0.6251121,0.49687737,0.6123361,0.5264502,0.4286985,0.52951413,0.44431227,0.7396688,0.4366287,0.7579257,0.5362555,0.92547846,0.35461944,0.97283757,0.5357749,backhand
0.21525507,0.5819039,0.27055523,0.51460946,0.26465952,0.52021533,0.40170234,0.502705,0.4027998,0.48678944,0.45764014,0.59640163,0.48469207,0.6091811,0.5294656,0.42260805,0.53266203,0.45704776,0.7386638,0.43937963,0.75713867,0.540913,0.92252445,0.36954153,0.96842504,0.546047,backhand
0.22745207,0.6036737,0.26732725,0.5135213,0.2767938,0.5379687,0.39211375,0.46269995,0.4288179,0.53781784,0.41654012,0.5828155,0.46662414,0.596254,0.53031254,0.42761555,0.5350322,0.4667089,0.7417642,0.4468702,0.7543165,0.5558353,0.9272667,0.38192204,0.96720743,0.5596822,backhand
0.21307383,0.606637,0.25036687,0.49823657,0.29686698,0.57687384,0.39961684,0.49384078,0.47728288,0.58663255,0.34119695,0.5785115,0.4097327,0.6117914,0.5277739,0.4282404,0.534657,0.48265758,0.7380063,0.4628085,0.75321466,0.5650488,0.9280333,0.38668358,0.9716761,0.5641586,backhand
0.21258086,0.60097474,0.25176823,0.5012547,0.29159018,0.5579416,0.4277229,0.5038683,0.47488055,0.5571572,0.34763044,0.57752126,0.40316027,0.59801906,0.53263056,0.42997095,0.54003364,0.47610256,0.737998,0.45690548,0.75494444,0.5653496,0.9360242,0.38280556,0.97354347,0.5653517,backhand
0.21702187,0.59849834,0.2644858,0.52571267,0.25843817,0.52817535,0.40720612,0.47930226,0.38417843,0.45055157,0.47034135,0.5239048,0.48740023,0.51400214,0.5384483,0.4373693,0.5425347,0.46643692,0.74036914,0.4675206,0.75578815,0.5717274,0.9290165,0.3962231,0.9769587,0.5794963,backhand
0.22807679,0.5964039,0.27586818,0.5226664,0.26249063,0.5203523,0.4376176,0.50453985,0.39816523,0.44971117,0.5114715,0.5254224,0.5234951,0.52469164,0.5373139,0.4377938,0.5412009,0.46707466,0.7402627,0.45874396,0.761857,0.57548046,0.93034506,0.3949969,0.9780761,0.5826317,backhand
0.2269855,0.5826829,0.27037907,0.48783848,0.2832873,0.5283682,0.42173946,0.45916003,0.44338998,0.5002911,0.5220017,0.52634716,0.5489824,0.538602,0.5381967,0.42655796,0.5444188,0.48478383,0.7424718,0.45726192,0.7601835,0.5756102,0.9342186,0.4031503,0.9728684,0.58396316,backhand
0.2166429,0.5667324,0.274814,0.45759535,0.27979127,0.5312728,0.41801813,0.47070166,0.42351422,0.5397454,0.510849,0.53707606,0.53270197,0.5799798,0.5321248,0.40912825,0.5339055,0.48475954,0.7360734,0.45765382,0.75372416,0.58002084,0.9256387,0.40717745,0.96152407,0.5874379,backhand
0.19831808,0.56057227,0.26733354,0.43418157,0.26079452,0.54087,0.41198754,0.45348814,0.4205642,0.5520914,0.5299504,0.56351686,0.55663615,0.61834145,0.5223651,0.40782514,0.5217918,0.48537123,0.73265374,0.44032356,0.7487893,0.57623297,0.92125267,0.40958214,0.9656463,0.58778125,backhand
0.21118979,0.54145217,0.27554107,0.41178283,0.28037918,0.54227453,0.41752493,0.42434984,0.44078225,0.5643079,0.52662665,0.5156232,0.55626595,0.64887476,0.5275666,0.39603382,0.52745175,0.48263553,0.74142516,0.42452028,0.75803524,0.5652921,0.9328957,0.4020054,0.9666095,0.57384986,backhand
