nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.22895561,0.40979147,0.3125163,0.48645407,0.30140653,0.49244574,0.47761777,0.4544017,0.45224658,0.4695384,0.41453117,0.31782293,0.4188971,0.32665387,0.56290936,0.5469701,0.5578873,0.5705796,0.7645224,0.40079668,0.7810283,0.56631273,0.96313375,0.51992697,0.935103,0.7105995,forehand
0.21134181,0.39288387,0.30947316,0.4920462,0.2897671,0.4724603,0.47688526,0.47112596,0.43127427,0.45035464,0.39097786,0.40343943,0.38239166,0.40987924,0.5621889,0.54303354,0.5568135,0.5561126,0.7582455,0.37884617,0.7857984,0.544832,0.9729029,0.4772588,0.9417834,0.70757425,forehand
0.23443575,0.33531898,0.32409352,0.43795878,0.3104266,0.43978113,0.49330166,0.45196837,0.46251133,0.43921965,0.40682977,0.36205587,0.39293092,0.3725283,0.5822008,0.50134975,0.57775843,0.50899845,0.78188026,0.3476078,0.79566616,0.4881253,0.9822703,0.40954608,0.94389737,0.66996574,forehand
0.2350842,0.325568,0.32359838,0.46946642,0.32233164,0.35367653,0.513908,0.4820804,0.4810886,0.3730627,0.43324253,0.37059206,0.4441128,0.30937558,0.5796567,0.5143171,0.5797625,0.4842371,0.790545,0.34399518,0.8037259,0.4748039,0.986514,0.39286593,0.9426981,0.66710967,forehand
0.24762206,0.35960424,0.3265453,0.4904448,0.33479303,0.3470178,0.51256984,0.5091701,0.49266523,0.339787,0.47379982,0.3873692,0.37793127,0.28188986,0.58706313,0.5239884,0.58942926,0.4783153,0.81413496,0.36237967,0.8174139,0.48264858,0.9837588,0.39376065,0.9338958,0.6583875,forehand
0.24713941,0.37962487,0.3292951,0.52062863,0.32813725,0.3766237,0.518436,0.53837407,0.49699616,0.4002097,0.49515072,0.40241686,0.48271665,0.38718146,0.59611464,0.5489639,0.597313,0.5092794,0.8261186,0.38239595,0.82249427,0.49564382,0.9791566,0.43744278,0.9438335,0.69323975,forehand
0.22308902,0.35195985,0.31912392,0.48562506,0.31470868,0.3356626,0.4959278,0.51517826,0.49653104,0.35145116,0.4960465,0.37957567,0.45491493,0.32995427,0.58736575,0.51491624,0.59248394,0.4676362,0.8173022,0.32698378,0.8263171,0.45552656,0.9804787,0.39507464,0.942644,0.66053593,forehand
0.24240677,0.35013255,0.33294126,0.49153334,0.32107878,0.3486007,0.50220853,0.5378999,0.47230372,0.3451297,0.48890355,0.39786696,0.44194534,0.2683398,0.6013316,0.51850116,0.6019184,0.46271917,0.8232803,0.32352346,0.8306085,0.45506755,0.9834557,0.38656205,0.9432205,0.65275514,forehand
0.22997384,0.37406823,0.32473958,0.5323142,0.3098481,0.37201503,0.49895573,0.5896039,0.35106733,0.26483646,0.5423539,0.474638,0.41516834,0.22634424,0.5975994,0.5548055,0.5994607,0.49299687,0.82102334,0.35099033,0.82736886,0.4960722,0.9802656,0.42202097,0.9434953,0.6944206,forehand
0.22363615,0.42046034,0.3219882,0.56336933,0.30013624,0.41405544,0.49825415,0.6348985,0.336415,0.2793861,0.5821568,0.5133389,0.37050855,0.14632927,0.5935253,0.589818,0.5963237,0.5337573,0.8213059,0.3860214,0.8181741,0.543266,0.983515,0.45798793,0.9399151,0.7440723,forehand
