nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.13043898,0.38640246,0.22321923,0.4135223,0.20331372,0.48624206,0.3698573,0.4151626,0.34998477,0.48268738,0.48530334,0.38948804,0.4750394,0.4394895,0.45206636,0.57155734,0.448791,0.6106848,0.6511166,0.4804108,0.6309645,0.50991654,0.88073516,0.5800894,0.8098091,0.6078902,backhand
0.13020884,0.38697842,0.22199921,0.4358218,0.21090557,0.45992664,0.37901318,0.43482307,0.36597776,0.4498,0.4936614,0.38547108,0.47553056,0.3981132,0.45687506,0.5906078,0.45454052,0.5999391,0.664438,0.48995402,0.6437843,0.50435215,0.89066887,0.6044012,0.80929255,0.6123729,backhand
0.13711524,0.4018562,0.22739215,0.45916912,0.21439463,0.4765814,0.3837201,0.4562625,0.36739963,0.46361378,0.47889313,0.38962486,0.45837775,0.40884894,0.45295748,0.600055,0.45112032,0.5952423,0.6481342,0.50298446,0.6278885,0.5005832,0.89434725,0.61486745,0.80901533,0.5821625,backhand
0.125544,0.3910896,0.20600127,0.48884118,0.2007125,0.46364358,0.36436692,0.48302725,0.35602295,0.46968135,0.46345353,0.39844704,0.44356823,0.40479034,0.43844345,0.60466915,0.43603393,0.57001215,0.6395926,0.513016,0.6048164,0.48076472,0.8782369,0.614056,0.7960074,0.5559441,backhand
0.13478452,0.38543624,0.1953512,0.48755366,0.1985553,0.46871904,0.34713686,0.4991266,0.34192768,0.49147877,0.45396215,0.40037432,0.43709296,0.41387782,0.43988603,0.60280406,0.43965933,0.5692936,0.65609616,0.5246384,0.5952796,0.46054655,0.8924513,0.6213733,0.79672694,0.55273277,backhand
0.13196833,0.37878984,0.18445808,0.48219958,0.18935247,0.456758,0.32746446,0.5210409,0.3233401,0.5057608,0.43370524,0.4148385,0.41838574,0.4205528,0.44061193,0.59839356,0.43959352,0.55440295,0.6525053,0.53731805,0.58961546,0.44869033,0.89015627,0.62173223,0.78636324,0.5114303,backhand
0.13804796,0.38566434,0.17970699,0.49118927,0.20347123,0.44302434,0.32003978,0.5358919,0.32718062,0.50029355,0.41483393,0.4209886,0.4125526,0.42004734,0.4420821,0.600525,0.4453056,0.5491704,0.64752674,0.5303131,0.5940799,0.440679,0.8930277,0.6198823,0.7829115,0.50864005,backhand
0.14546068,0.39486226,0.17386651,0.5045319,0.20306385,0.43500632,0.31118986,0.544443,0.32084316,0.49032187,0.40543076,0.434843,0.40453258,0.42629033,0.44435358,0.59767735,0.45009503,0.53379905,0.6544152,0.53936994,0.5917003,0.42820618,0.88083756,0.6219061,0.78055066,0.4780509,backhand
0.14530942,0.38381574,0.17036869,0.5047111,0.20894177,0.4127875,0.3124405,0.5440575,0.34226024,0.45598912,0.40670726,0.42832106,0.40916184,0.40718022,0.44662017,0.58777225,0.45330018,0.52184445,0.65913326,0.5226166,0.6000826,0.39561015,0.88625276,0.6187637,0.7869163,0.45688343,backhand
0.15253098,0.39709917,0.17063893,0.51429385,0.20633197,0.42110088,0.29941615,0.5478928,0.32684875,0.4681089,0.37998655,0.44449005,0.37624362,0.4299801,0.4600368,0.57229733,0.46335903,0.5068764,0.6627334,0.5180704,0.6067374,0.38451007,0.88688236,0.6270177,0.8090207,0.4584817,backhand
