nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.15179306,0.5269921,0.22006164,0.42017776,0.25229782,0.56953615,0.19910845,0.5215431,0.25632557,0.7318102,0.15570277,0.6395716,0.15222181,0.77069056,0.50072634,0.37712616,0.50831443,0.48943883,0.6816567,0.3347341,0.6781623,0.62120533,0.878121,0.2840946,0.883319,0.70464206,forehand
0.14639784,0.5278133,0.21730165,0.41761485,0.24851404,0.56797105,0.16597576,0.5189989,0.25750148,0.72992074,0.1002719,0.6121946,0.17574848,0.78680396,0.49305212,0.3643403,0.50499344,0.48009628,0.6981641,0.31099603,0.693165,0.6262858,0.8854474,0.2527585,0.88394314,0.7127404,forehand
0.18853565,0.54411596,0.24009769,0.4303209,0.28509045,0.56503797,0.17216611,0.5276397,0.29528305,0.71577793,0.10706033,0.6191685,0.20533672,0.80046606,0.50992346,0.3783688,0.5209729,0.48558098,0.7060786,0.31488448,0.7033363,0.63476694,0.8824214,0.25047293,0.89510316,0.71429366,forehand
0.2017436,0.54807717,0.2480116,0.4340647,0.3041419,0.55440444,0.21474622,0.4644391,0.3298186,0.6821881,0.16068333,0.5755929,0.2543774,0.7820671,0.5289295,0.37581494,0.5400521,0.48152035,0.71050155,0.3094628,0.68949074,0.6354433,0.8704318,0.22523631,0.8844155,0.7049155,forehand
0.16698967,0.5783398,0.22184244,0.46032432,0.27716684,0.5776865,0.24308841,0.46213555,0.32389084,0.6829652,0.21887282,0.53227806,0.26054105,0.801701,0.5143169,0.39034247,0.5258461,0.5000077,0.7092815,0.3129222,0.6657957,0.6765306,0.8636358,0.2057239,0.8854778,0.7067908,forehand
0.13295913,0.599659,0.19992545,0.48437876,0.24999976,0.5917282,0.23276454,0.50918186,0.3077622,0.7028839,0.19573514,0.5766157,0.26266992,0.8395469,0.5001618,0.41225657,0.5092195,0.5199638,0.6967182,0.30831903,0.6573813,0.69630283,0.85744274,0.18849209,0.88200575,0.7168136,forehand
0.13717686,0.62426984,0.19141889,0.494726,0.26027045,0.6055886,0.24179731,0.49904045,0.32625055,0.69725174,0.21562284,0.5875787,0.30164832,0.84308565,0.49585202,0.4163279,0.5074817,0.5245706,0.6912124,0.31036288,0.6621076,0.7048254,0.8458564,0.18336199,0.88617676,0.7030849,forehand
0.11924292,0.61725676,0.18580186,0.49454963,0.25675723,0.6175131,0.19673896,0.5047356,0.33911273,0.6985372,0.15634467,0.56427467,0.32352743,0.84986126,0.4872245,0.41905975,0.5029738,0.52789193,0.6784572,0.30628324,0.656965,0.69603336,0.8460328,0.17992656,0.88435453,0.6952451,forehand
0.12235009,0.6262543,0.18470156,0.49458855,0.267697,0.6314086,0.1329424,0.46467423,0.35691112,0.7068417,0.07866858,0.49442157,0.35932922,0.86056995,0.47733015,0.41839686,0.49817237,0.5268245,0.6617893,0.3000957,0.66250277,0.67397004,0.8399506,0.18064055,0.8845926,0.67363316,forehand
0.13220583,0.62315845,0.17735025,0.47809085,0.26957646,0.6289751,0.15589146,0.38125014,0.36959243,0.6926728,0.18157136,0.44300923,0.39957505,0.8468166,0.4651029,0.40640107,0.49388126,0.5188117,0.64394325,0.29621938,0.65857565,0.63247013,0.82627845,0.18408309,0.86805636,0.64720476,forehand
