nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.11984595,0.57293457,0.23402268,0.56812364,0.18327375,0.425204,0.3506161,0.65928364,0.31052178,0.34845152,0.43045598,0.76131135,0.434628,0.2893415,0.4523803,0.45790875,0.43993896,0.3660188,0.6403507,0.50699395,0.6703911,0.3481039,0.8475936,0.5332759,0.88513446,0.29354396,serve
0.13034296,0.536733,0.231166,0.5412531,0.18647386,0.38811427,0.30510107,0.6449797,0.30991694,0.29631653,0.35939115,0.77250993,0.4285286,0.2225095,0.44587675,0.42385894,0.4397136,0.33170205,0.63592285,0.49581623,0.6724287,0.33254933,0.8414979,0.5073419,0.8824075,0.27209792,serve
0.1300516,0.484903,0.21902937,0.54340494,0.18846406,0.37862897,0.26987687,0.66961414,0.28937882,0.2772919,0.288298,0.7970403,0.38007832,0.20782916,0.45653552,0.43287843,0.4534071,0.3359491,0.632616,0.51989883,0.688205,0.3394655,0.83808666,0.5183702,0.8823298,0.27246022,serve
0.13199213,0.50394696,0.21078734,0.53754246,0.19825767,0.36067882,0.23000592,0.68617713,0.28341115,0.25129923,0.2148911,0.81051165,0.37037855,0.18337183,0.46073645,0.43597388,0.46313775,0.33921072,0.6341018,0.5359142,0.69563216,0.3465245,0.8349237,0.5226706,0.8785975,0.27452245,serve
0.13159554,0.499435,0.211541,0.5445026,0.20036674,0.36432627,0.23285668,0.68627954,0.28520972,0.25694492,0.21831585,0.82198715,0.37200332,0.19042282,0.46843347,0.44749555,0.4705977,0.3462969,0.63931304,0.5421883,0.7019333,0.35105357,0.8479728,0.5301847,0.88847226,0.28055412,serve
0.13444723,0.48015687,0.20691365,0.53930795,0.20445956,0.34765968,0.18846117,0.68993354,0.27468166,0.23552683,0.146735,0.80482715,0.3516389,0.16892327,0.46899214,0.44933668,0.47185597,0.3438695,0.6415668,0.55185217,0.70850796,0.35993838,0.8500285,0.53627956,0.89039874,0.27992743,serve
0.12867358,0.502759,0.20381759,0.5450162,0.20380925,0.3515256,0.15860276,0.6970259,0.25884426,0.23738274,0.088916175,0.7928723,0.33273354,0.1642813,0.47469163,0.46780607,0.47863945,0.37133217,0.6352367,0.574826,0.71063775,0.3840541,0.8404807,0.5526935,0.8878176,0.29613325,serve
0.14599837,0.5367204,0.21680795,0.5542557,0.23724426,0.3680706,0.1641584,0.68139666,0.2786172,0.25641704,0.09166019,0.781091,0.33372805,0.18231729,0.4924571,0.49219415,0.50142795,0.39678767,0.6436048,0.60669786,0.7180771,0.41699898,0.84072804,0.575359,0.88493276,0.32000282,serve
0.18005209,0.52683425,0.23765768,0.5595058,0.25596038,0.3860134,0.1753099,0.6777013,0.29098028,0.2754806,0.08866153,0.7777244,0.3470122,0.20007935,0.5021855,0.5188839,0.51563495,0.4305564,0.6528521,0.6332508,0.7322617,0.4498213,0.83787423,0.5932984,0.878255,0.35073122,serve
0.20394586,0.5386961,0.26213884,0.56574124,0.28315777,0.40001184,0.19807975,0.6659368,0.3199927,0.28957525,0.10632409,0.7586794,0.36856794,0.21764497,0.52068275,0.53686094,0.5321547,0.45248026,0.6741673,0.6534503,0.751049,0.47303876,0.8547269,0.6056948,0.8928624,0.3725424,serve
0.19279759,0.5323419,0.2672121,0.5706345,0.30284014,0.41517404,0.18582763,0.6845315,0.33431163,0.2972305,0.09816045,0.75550467,0.37461776,0.2402271,0.5294562,0.5515263,0.5441006,0.47211123,0.683658,0.66800255,0.7544485,0.49614546,0.8587493,0.61185354,0.8896365,0.38162318,serve
0.21084727,0.54070807,0.27903917,0.56694275,0.3211741,0.41630182,0.2004003,0.6632691,0.3653889,0.3085252,0.11060532,0.73715204,0.3911169,0.26157197,0.5417484,0.5658325,0.556559,0.4871266,0.6913741,0.6839376,0.7563645,0.51181245,0.85995567,0.61127394,0.88918644,0.39420167,serve
0.21861316,0.5318682,0.28910995,0.56492233,0.34093004,0.42857885,0.19839202,0.65760356,0.39530712,0.32742897,0.1141289,0.7106226,0.39708465,0.311264,0.5428606,0.5782598,0.5617451,0.4967914,0.6952945,0.69384617,0.7561316,0.5203964,0.86198133,0.6137058,0.8865896,0.39985454,serve
0.2353314,0.52151555,0.292253,0.5577099,0.34923548,0.42357388,0.20455822,0.63390017,0.39631167,0.30677587,0.103679314,0.6916821,0.40092206,0.28996494,0.5554484,0.57565063,0.5775846,0.49805367,0.7033871,0.69434816,0.7665361,0.52061933,0.8613988,0.60516876,0.8862315,0.39081758,serve
0.25620168,0.5210966,0.30318767,0.5689623,0.3844009,0.4256314,0.20328705,0.631926,0.42394465,0.29103088,0.1009012,0.6775349,0.40178937,0.34461772,0.5658165,0.5934248,0.5911575,0.51302975,0.70709,0.7081072,0.76970387,0.5417648,0.8709488,0.6157368,0.8822415,0.40893722,serve
